,vertex,start_time,end_time,processor,duration
50,MERGED_LIB_BIGWIG_00000081,13731614.6773963,13932113.6398963,31,200498.96250000037
51,MERGED_LIB_BIGWIG_00000120,32115337.8567413,32315836.8192413,33,200498.9624999985
52,MERGED_LIB_BIGWIG_00000026,26384700.4018736,26585199.3643736,35,200498.9624999985
53,MERGED_LIB_BIGWIG_00000159,26384700.4018736,26585199.3643736,34,200498.9624999985
54,MERGED_LIB_BIGWIG_00000042,13731614.6773963,13932113.6398963,32,200498.96250000037
55,MERGED_REP_BAM_00000133,32315836.8192413,32373859.1817413,33,58022.362500000745
56,MERGED_REP_BAM_00000016,26338061.5865522,26396083.9490522,32,58022.362500000745
57,MERGED_REP_BAM_00000055,20507731.8355639,20565754.1980639,31,58022.36249999702
58,MERGED_REP_BAM_00000094,20565754.1980639,20623776.5605639,31,58022.362500000745
59,MERGED_REP_BAM_00000172,26338061.5865522,26396083.9490522,31,58022.362500000745
60,MAKE_GENE_BED_00000024,58022.3625,116044.725,9,58022.3625
61,MAKE_GENE_BED_00000077,58022.3625,116044.725,8,58022.3625
62,MAKE_GENE_BED_00000194,58022.3625,116044.725,7,58022.3625
63,MAKE_GENE_BED_00000155,58022.3625,116044.725,6,58022.3625
64,MAKE_GENE_BED_00000116,0.0,154726.3,18,154726.3
65,MERGED_REP_MACS2_00000045,21611232.6270334,21765958.9270335,18,154726.3000000976
66,MERGED_REP_MACS2_00000084,22132887.3203263,22287613.6203263,19,154726.30000000075
67,MERGED_REP_MACS2_00000162,26396083.9490522,26454106.3115522,31,58022.362500000745
68,MERGED_REP_MACS2_00000020,26396083.9490522,26454106.3115522,32,58022.362500000745
69,MERGED_REP_MACS2_00000123,32373859.1817413,32431881.5442413,33,58022.362500000745
70,MAKE_TSS_BED_00000025,116044.725,174067.0875,9,58022.36249999999
71,MAKE_TSS_BED_00000191,116044.725,174067.0875,7,58022.36249999999
72,MAKE_TSS_BED_00000113,1200204.72896952,1354931.02896952,20,154726.30000000005
73,MAKE_TSS_BED_00000074,116044.725,174067.0875,8,58022.36249999999
74,MAKE_TSS_BED_00000152,116044.725,174067.0875,6,58022.36249999999
75,MERGED_LIB_PLOTPROFILE_00000007,26585199.3643736,26871823.0643736,35,286623.700000003
76,MERGED_LIB_PLOTPROFILE_00000171,26585199.3643736,26871823.0643736,34,286623.700000003
77,MERGED_LIB_PLOTPROFILE_00000054,21328778.6106708,21615402.3106708,8,286623.69999999925
78,MERGED_LIB_PLOTPROFILE_00000132,32431881.5442413,32718505.2442413,33,286623.69999999925
79,MERGED_LIB_PLOTPROFILE_00000093,22954045.7302317,23240669.4302317,11,286623.700000003
80,MERGED_LIB_CONSENSUS_00000063,26647157.492254,26801883.792254,18,154726.30000000075
81,MERGED_LIB_CONSENSUS_00000180,32718505.2442413,32776527.6067413,33,58022.362500000745
82,MERGED_LIB_CONSENSUS_00000141,26871823.0643736,26929845.4268736,34,58022.36249999702
83,MERGED_LIB_CONSENSUS_00000032,31432007.5399852,31490029.9024852,30,58022.362500000745
84,MERGED_REP_CONSENSUS_00000179,26454106.3115522,26512128.6740522,31,58022.362500000745
85,MERGED_REP_CONSENSUS_00000062,22811437.356003,22966163.656003,19,154726.29999999702
86,MERGED_REP_CONSENSUS_00000033,26454106.3115522,26512128.6740522,32,58022.362500000745
87,MERGED_REP_CONSENSUS_00000101,22966163.656003,23120889.956003,19,154726.30000000075
88,MERGED_REP_CONSENSUS_00000140,32776527.6067413,32834549.9692413,33,58022.36249999702
89,MERGED_LIB_CONSENSUS_00000102,26871823.0643736,26929845.4268736,35,58022.36249999702
90,MERGED_LIB_ATAQV_00000060,34215075.2661444,34380021.9911444,30,164946.72499999404
91,MERGED_LIB_ATAQV_00000027,37383103.1798036,37548049.9048036,30,164946.72499999404
92,MERGED_LIB_ATAQV_00000099,28451918.562527,28616865.287527,35,164946.72499999776
93,MERGED_LIB_ATAQV_00000138,35608650.0073101,35773596.7323101,33,164946.7250000015
94,MERGED_LIB_ATAQV_00000177,38776677.9209693,38941624.6459693,33,164946.7250000015
95,FASTQC_00000003,32541444.6068104,33882381.1614587,34,1340936.5546483025
96,FASTQC_00000086,23670607.8278719,24954304.4945386,12,1283696.6666667014
97,FASTQC_00000047,23670607.8278719,24954304.4945386,13,1283696.6666667014
98,FASTQC_00000125,23670607.8278719,24954304.4945386,14,1283696.6666667014
99,FASTQC_00000164,23670607.8278719,24954304.4945386,15,1283696.6666667014
100,MERGED_LIB_PICARD_METRICS_00000105,26512128.6740522,26714716.7740522,31,202588.09999999776
101,MERGED_LIB_PICARD_METRICS_00000066,26512128.6740522,26714716.7740522,32,202588.09999999776
102,MERGED_LIB_PICARD_METRICS_00000144,44049514.1232123,44252102.2232123,35,202588.1000000015
103,MERGED_LIB_PICARD_METRICS_00000183,38657198.0405232,38859786.1405232,32,202588.1000000015
104,MERGED_LIB_PICARD_METRICS_00000012,38657198.0405232,38859786.1405232,31,202588.1000000015
105,MERGED_LIB_CONSENSUS_COUNTS_00000015,31490149.0568462,31548171.4193462,11,58022.36249999702
106,MERGED_REP_CONSENSUS_COUNTS_00000017,30535079.3254821,30689805.6254821,18,154726.30000000075
107,MERGED_REP_CONSENSUS_COUNTS_00000165,33882381.1614587,33940403.5239587,34,58022.36249999702
108,MERGED_LIB_CONSENSUS_COUNTS_00000167,33940403.5239587,33998425.8864587,34,58022.36250000447
109,MERGED_REP_CONSENSUS_COUNTS_00000126,33879983.2684343,34034709.5684343,18,154726.29999999702
110,MERGED_REP_CONSENSUS_COUNTS_00000048,27557561.9732452,27712288.2732452,19,154726.30000000075
111,MERGED_REP_CONSENSUS_COUNTS_00000087,27557561.9732452,27712288.2732452,20,154726.30000000075
112,MERGED_LIB_CONSENSUS_COUNTS_00000050,28079217.494531,28233943.794531,21,154726.30000000075
113,MERGED_LIB_CONSENSUS_COUNTS_00000089,30011374.1056792,30069396.4681792,10,58022.362500000745
114,MERGED_LIB_CONSENSUS_COUNTS_00000128,34401592.385613,34459614.748113,34,58022.36249999702
115,MERGED_REP_MACS2_ANNOTATE_00000057,27847408.433181,28002134.733181,22,154726.30000000075
116,MERGED_REP_MACS2_ANNOTATE_00000174,28600871.5493367,28755597.8493367,19,154726.29999999702
117,MERGED_REP_MACS2_ANNOTATE_00000096,24166414.59693,24321140.89693,23,154726.30000000075
118,MERGED_REP_MACS2_ANNOTATE_00000037,28600871.5493367,28755597.8493367,20,154726.29999999702
119,MERGED_REP_MACS2_ANNOTATE_00000135,34925416.1212897,34983438.4837897,34,58022.36249999702
120,MERGED_LIB_MACS2_ANNOTATE_00000149,34983438.4837897,35047408.4462897,34,63969.96250000596
121,MERGED_LIB_MACS2_ANNOTATE_00000188,38941624.6459693,39005594.6084693,33,63969.96249999851
122,MERGED_LIB_MACS2_ANNOTATE_00000035,37548049.9048036,37612019.8673036,30,63969.96250000596
123,MERGED_LIB_MACS2_ANNOTATE_00000071,37612019.8673036,37675989.8298036,30,63969.96249999851
124,MERGED_LIB_MACS2_ANNOTATE_00000110,43743392.3434197,43807362.3059197,34,63969.96249999851
125,MERGED_LIB_CONSENSUS_DESEQ2_00000019,31548171.4193462,31606193.7818462,11,58022.362500000745
126,MERGED_REP_CONSENSUS_DESEQ2_00000187,35125004.1039519,35279730.4039519,18,154726.29999999702
127,MERGED_REP_BIGWIG_00000139,34922208.6419445,35076934.9419445,19,154726.30000000447
128,MERGED_REP_BIGWIG_00000031,28861699.3742296,29016425.6742296,21,154726.30000000075
129,MERGED_REP_CONSENSUS_DESEQ2_00000070,28757766.7022148,28912493.0022148,22,154726.30000000075
130,MERGED_REP_BIGWIG_00000061,28599787.3467555,28754513.6467555,23,154726.30000000075
131,MERGED_REP_CONSENSUS_DESEQ2_00000148,35080187.9974038,35234914.2974038,20,154726.29999999702
132,MERGED_REP_CONSENSUS_DESEQ2_00000022,35279730.4039519,35434456.7039519,18,154726.30000000447
133,MERGED_LIB_CONSENSUS_DESEQ2_00000079,30069396.4681792,30127418.8306792,10,58022.362500000745
134,MERGED_REP_BIGWIG_00000178,29010401.1425989,29068423.5050989,9,58022.362500000745
135,MERGED_LIB_CONSENSUS_DESEQ2_00000118,35646658.7972448,35801385.0972448,19,154726.29999999702
136,MERGED_REP_CONSENSUS_DESEQ2_00000109,28757766.7022148,28989856.1522148,29,232089.44999999925
137,MERGED_LIB_CONSENSUS_DESEQ2_00000157,36168313.4905377,36323039.7905377,18,154726.29999999702
138,MERGED_REP_BIGWIG_00000100,29123611.4017038,29278337.7017038,23,154726.30000000075
139,MERGED_LIB_CONSENSUS_DESEQ2_00000040,29016425.6742296,29171151.9742296,21,154726.30000000075
140,MERGED_LIB_PLOTFINGERPRINT_00000067,38859786.1405232,38917808.5030232,32,58022.36249999702
141,MERGED_LIB_PLOTFINGERPRINT_00000145,39005594.6084693,39063616.9709693,33,58022.36249999702
142,MERGED_LIB_PLOTFINGERPRINT_00000013,44252102.2232123,44310124.5857123,35,58022.36249999702
143,MERGED_LIB_PLOTFINGERPRINT_00000106,38859786.1405232,38917808.5030232,31,58022.36249999702
144,MERGED_LIB_PLOTFINGERPRINT_00000184,43807362.3059197,43865384.6684197,34,58022.36249999702
145,MERGED_REP_MACS2_QC_00000176,29644181.8910934,29798908.1910934,21,154726.30000000075
146,MERGED_LIB_MACS2_QC_00000018,37663323.4557162,37721345.8182162,11,58022.36249999702
147,MERGED_LIB_MACS2_QC_00000112,43847239.4569867,43905261.8194867,33,58022.36249999702
148,MERGED_REP_MACS2_QC_00000021,29281590.7571631,29436317.0571631,22,154726.30000000075
149,MERGED_LIB_PRESEQ_00000010,38410339.6685966,38468362.0310966,30,58022.36249999702
150,MERGED_LIB_MACS2_QC_00000190,39045471.7595364,39103494.1220364,30,58022.36249999702
151,get_software_versions_00000023,174067.0875,232089.45,7,58022.36250000002
152,MERGED_LIB_PRESEQ_00000158,43865384.6684197,43923407.0309197,34,58022.36250000447
153,get_software_versions_00000193,174067.0875,232089.45,6,58022.36250000002
154,MERGED_REP_MACS2_QC_00000059,35079103.7948226,35233830.0948226,22,154726.29999999702
155,MERGED_REP_MACS2_QC_00000137,44005304.3708938,44063326.7333938,34,58022.36250000447
156,get_software_versions_00000076,0.0,232089.45,24,232089.45
157,MERGED_LIB_PRESEQ_00000080,30165837.5393337,30320563.8393337,23,154726.29999999702
158,MERGED_LIB_MACS2_QC_00000073,38657499.5705667,38812225.8705667,18,154726.30000000447
159,MERGED_LIB_MACS2_QC_00000151,44063326.7333938,44121349.0958938,34,58022.36249999702
160,MERGED_LIB_PRESEQ_00000119,40331799.0264734,40389821.3889734,32,58022.36249999702
161,get_software_versions_00000154,0.0,232089.45,25,232089.45
162,MERGED_REP_MACS2_QC_00000098,29801076.9155275,30033166.3655275,29,232089.44999999925
163,MERGED_LIB_PRESEQ_00000041,29644182.5280912,29876271.9780912,24,232089.44999999925
164,get_software_versions_00000115,0.0,232089.45,26,232089.45
165,MERGED_LIB_CONSENSUS_ANNOTATE_00000169,40853453.081335,40911475.443835,31,58022.36249999702
166,IGV_00000121,44254480.8613297,44312503.2238297,34,58022.36250000447
