wf_name,inp_size,ms_1_A1,ms_2_A1,ms_1_A2,ms_2_A2,ms_1_A3,ms_2_A3,ms_1_A4,ms_2_A4,ms_1_A5,ms_2_A5,size,deviations
dag_10000_wide_3.dot,1,7678766488.87974,9483379764.49223,7652046413.18937,9264200653.02887,7276759522.65285,12779921158.4275,7387428467.50655,25001964646.6328,7555757344.13779,33567943599.1908,10000,False
dag_1000_general_0.dot,1,4610861822.08015,4664531180.71083,4601289724.0831,4623140230.15444,4548155024.97327,4880690490.00899,4636327998.73252,7268907787.67223,4575652315.6616,8016413250.01135,1000,False
dag_25000_long_3.dot,1,277500366509.347,277472485809.172,277500366509.347,277472485809.172,277527131617.578,277476004822.669,277525106269.258,277472954592.717,277527131617.578,277476004822.669,25000,False
dag_200_wide_2.dot,1,305401470.581853,323941091.646647,331258956.401179,297496900.195386,321998556.95633,399598476.433589,376487292.460173,536070699.601962,360656734.659615,685042601.565518,200,False
dag_10000_long_2.dot,1,110897457092.331,110852647021.72,110897457092.331,110852647021.72,110886344458.195,110854214164.712,110964004948.129,110853515330.116,110886052328.399,110853922034.916,10000,False
dag_25000_general_0.dot,1,108124141224.618,110930286942.784,108250316451.458,112199107276.136,108255887535.481,117286613596.356,108223425582.561,177561397177.099,108234401122.123,192656520758.038,25000,False
dag_1000_general_3.dot,1,4624915711.79302,4599673806.51948,4753205760.45646,4508738333.26239,4607928746.78508,5002774807.19573,4723683220.95364,7124124799.79231,4766476993.61264,7937048530.25444,1000,False
dag_25000_general_3.dot,1,109825491081.737,111729657354.678,109887099767.763,112985306234.949,109926875580.319,125733351925.137,109829865470.283,179178651925.878,109876024030.675,193796523732.602,25000,False
dag_2000_general_3.dot,1,9040228995.62059,9156786203.56891,8994315903.91991,8989911312.24323,8984590612.2095,9588066490.64758,9022065010.34158,14753149501.554,9060427554.11265,15537410935.738,2000,False
dag_50_long_3.dot,1,512658720.098737,466255894.930291,512658720.098737,466255894.930291,527503563.52941,466998494.052503,556511879.692896,466998494.052503,501587782.297717,470459674.200189,50,False
dag_4000_long_0.dot,1,43754473642.9206,43728210343.6129,43754326984.6535,43728210343.6129,43824762860.2693,43734597515.9233,43964858691.313,43730025138.195,43883822977.0014,43735731801.0597,4000,False
dag_30000_long_4.dot,1,334151606337.717,334151606335.717,334151606335.717,334151606335.717,334236979894.141,334151010260.69,334238219030.324,334151606335.717,334209691284.872,334150691256.687,30000,False
dag_50_long_0.dot,1,400903125.67211,383799092.656856,410178322.956587,383799092.656856,428642902.673695,384854826.716681,428093615.189269,383962569.343277,428086188.137351,385018303.403102,50,False
dag_30000_wide_4.dot,1,23325087295.6329,28431973820.3135,22720008369.2817,27979140537.2379,21750361525.5957,34202173086.1557,21805968444.0427,75463435484.3548,22455067069.6356,99501266726.311,30000,False
dag_30000_general_3.dot,1,131535842440.47,134687846214.331,131623843562.789,137323638915.584,131546644754.623,142604639569.465,131434599310.728,217305934272.588,131513306475.724,232988619242.34,30000,False
dag_10000_long_0.dot,1,109991763128.278,109991743115.416,109991763128.278,109991743115.416,110016967414.96,109993462228.519,110058985033.813,109992881195.208,110017427824.46,109993922638.018,10000,False
dag_1000_wide_1.dot,1,821971645.953296,1028798746.11611,992013341.867502,1034220787.15753,830496205.619981,1209942898.12043,914442157.172117,2576539582.69739,946780549.905101,3201471592.65448,1000,False
dag_2000_wide_4.dot,1,1702328534.87338,1885679015.99144,1695847890.20317,1852737487.07495,1500485142.20344,2866513508.28313,1540231457.9507,5347821865.94231,1630092166.12038,6841711140.92711,2000,False
dag_2000_long_1.dot,1,22132077958.1847,22115420069.5425,22149420038.3256,22115420069.5425,22154247248.0271,22116888164.8468,22155269612.0066,22115420069.5425,22154247248.0271,22116888164.8468,2000,False
dag_15000_general_1.dot,1,65547701685.8257,67026246754.7316,65612999141.4699,67186565740.477,65585266017.3547,74775283880.2081,65737392881.9709,108229660532.076,65650836529.743,117467786423.773,15000,False
dag_50_wide_2.dot,1,143174065.772925,184644070.822379,158081295.452969,142236671.066926,183563676.641888,166098028.340946,157459400.096325,168984813.695748,183122003.305347,196462965.120006,50,False
dag_25000_long_2.dot,1,278338365964.623,278336188423.022,278349136463.919,278336188423.022,278363199902.259,278334715100.254,278405317256.052,278335790615.715,278405080425.331,278337712274.923,25000,False
dag_8000_general_0.dot,1,34514161721.5718,35653823623.4189,34501157608.6225,35755456675.9165,34660593949.9402,39014545499.2206,34638585943.3758,57547578300.9193,34580717343.655,62243415781.3212,8000,False
dag_10000_general_0.dot,1,43971622318.3537,44935679226.8729,43964454307.6504,44773515703.4975,43939858354.03,48457265140.6184,43955607731.4868,72768616384.2268,44054549091.4726,78362014759.1085,10000,False
dag_8000_wide_0.dot,1,6265713506.23963,7717939125.43295,6389170157.75119,7579752065.22894,5961740711.53581,9714172933.22305,6076997232.066,19512040000.4467,6242278502.41148,26457179370.9057,8000,False
dag_2000_general_0.dot,1,8804974057.63186,9027223902.05925,8818014242.95388,8937090879.8447,8958017389.79332,9556781107.46567,8894887115.30301,14415242112.3922,8911480885.83402,15114100744.0376,2000,False
dag_30000_wide_2.dot,1,22683421741.0574,28541213055.9475,22240246221.715,28090643613.9767,21674372562.385,39085655118.9688,21569570171.9261,75001181062.2381,22315283741.8428,100712899268.057,30000,False
dag_25000_wide_3.dot,1,19349594048.289,23881321123.7029,18586633019.0902,23217050780.0436,17998160179.5993,30695271380.2748,18352850532.728,63823582972.0923,18836988550.0204,83584521921.6805,25000,False
dag_2000_long_3.dot,1,22969415194.6138,22953332522.5298,22980229844.8351,22953332522.5298,22981456640.7935,22951433225.9266,23032454268.4434,22951720789.0825,22981456640.7935,22951433225.9266,2000,False
dag_2000_wide_2.dot,1,1712607297.3223,2007107220.78235,1783062729.77244,2028063423.65296,1608931378.75758,3371904713.12149,1644855649.60272,5083017886.35312,1776548391.96502,6854577140.63683,2000,False
dag_2000_long_4.dot,1,21246888995.3561,21210012295.7643,21253251618.8837,21210012295.7643,21225961399.5184,21208862805.2461,21300693644.4572,21208862805.2461,21225348736.4517,21208265435.3761,2000,False
dag_15000_wide_1.dot,1,11390900633.7963,14379011252.8698,11317639791.8586,14126232171.7439,10816407661.1954,16239605621.7571,10968400278.0767,37671214464.4387,11226426982.7916,50541636210.0453,15000,False
dag_15000_general_3.dot,1,64531155930.3105,65764324021.4756,64438249829.5251,65989363033.2946,64477857711.146,70511356682.4744,64411903538.675,106461660601.394,64457092890.3275,116168282271.239,15000,False
dag_200_general_1.dot,1,1220224763.3812,1186454885.96832,1250043188.17394,1153720874.57592,1230800489.70775,1324117472.86648,1207964016.82387,1525929937.38757,1241956623.51007,1666375485.33357,200,False
dag_15000_long_3.dot,1,164957932914.94,164925933400.688,164957932914.94,164925933400.688,164933578034.964,164926648710.619,164958265771.613,164925933400.688,164933578034.964,164926648710.619,15000,False
dag_4000_long_3.dot,1,44722223383.1524,44722210341.382,44722223383.1524,44722210341.382,44779031677.5171,44722311465.181,44776241789.1796,44724094554.3666,44776241789.1796,44724094554.3666,4000,False
dag_1000_long_1.dot,1,10649129588.6004,10609483690.5525,10661434622.3328,10609483690.5525,10692287586.262,10609483690.5525,10692287586.262,10609483690.5525,10639588121.0793,10612196698.0333,1000,False
dag_30000_long_0.dot,1,334338400587.825,334328926540.859,334341912934.831,334328926540.859,334365468014.426,334331436125.877,334365303238.822,334329339190.751,334365483162.694,334331451274.144,30000,False
dag_20000_general_0.dot,1,85192351697.1483,88294012864.6601,85133266437.7276,89320510281.3264,85127833784.3086,94131341989.5774,85189397654.6653,141986020902.113,85297790926.4718,154436837845.031,20000,False
dag_20000_long_4.dot,1,222511261461.204,222511261461.204,222512893181.372,222511261461.204,222549274073.187,222510636351.3,222583605464.221,222511390907.523,222579200628.275,222510636351.3,20000,False
dag_50_long_2.dot,1,509052757.239961,467496275.280856,510934779.525411,467496275.280856,511630498.018177,468325320.052418,509235957.010726,467511827.696435,554120241.800057,470333528.171967,50,False
dag_15000_long_0.dot,1,168818035462.067,168817953081.448,168818035462.067,168817953081.448,168843800015.067,168819623921.963,168844094734.332,168818781989.239,168843800015.067,168819623921.963,15000,False
dag_1000_wide_0.dot,1,926719433.282296,1070911102.26832,943835618.038316,1079791589.97763,886968837.422783,1470623377.37916,969811713.03973,2530409562.00162,943780990.701152,3150662545.62909,1000,False
