,vertex,end_time_dyn,start_time_dyn,processor_dyn,duration_dyn,start_time_stat,end_time_stat,processor_stat,duration_stat
74,bismark_align_00000927,444081965.445966,437894252.420966,34,6187713.024999976,475429567.065814,481617280.090814,35,6187713.024999976
75,bismark_align_00000939,444081782.645966,437894069.620966,31,6187713.024999976,487804993.115814,493992706.140814,35,6187713.025000036
76,bismark_align_00000951,442568784.370649,436381071.345649,30,6187713.024999976,510239546.714342,516427259.739342,32,6187713.024999976
77,bismark_align_00000963,444081782.645966,437894069.620966,35,6187713.024999976,532723175.506594,538910888.531594,32,6187713.025000036
78,bismark_align_00000975,413897442.553397,407709729.528397,30,6187713.024999976,546412285.261029,552599998.286029,33,6187713.024999976
79,bismark_align_00000987,420085155.578397,413897442.553397,30,6187713.024999976,568895914.053282,575083627.078282,33,6187713.024999976
80,bismark_deduplicate_00000006,525615859.708466,525615676.908466,33,182.80000001192093,583878146.516476,583878329.316476,11,182.79999995231628
81,bismark_deduplicate_00000021,524522234.770966,524522051.970966,31,182.80000001192093,579978218.195278,579978400.995278,11,182.79999995231628
82,bismark_deduplicate_00000033,524522417.570966,524522234.770966,34,182.80000001192093,570189036.76204,570189219.56204,11,182.79999995231628
83,bismark_deduplicate_00000045,518334522.057171,518334339.257171,30,182.80000001192093,561394517.724224,561394700.524224,11,182.80000007152557
84,bismark_deduplicate_00000057,522255194.263218,522255011.463218,32,182.80000001192093,547705407.969788,547705590.769788,11,182.80000007152557
85,bismark_deduplicate_00000069,522255011.463218,522254828.663218,35,182.79999995231628,538910888.931971,538911071.731971,10,182.80000007152557
86,bismark_deduplicate_00000081,519428146.994671,519427964.194671,30,182.80000001192093,535010960.610773,535011143.410773,10,182.79999995231628
87,bismark_deduplicate_00000093,516067481.638596,516067298.838596,11,182.80000001192093,525221779.177536,525221961.977536,11,182.80000001192093
88,bismark_deduplicate_00000105,518334704.857171,518334522.057171,30,182.80000001192093,516427260.139719,516427442.939719,11,182.80000001192093
89,bismark_deduplicate_00000117,516821523.470649,516821340.670649,30,182.80000001192093,507632741.101902,507632923.901902,10,182.80000001192093
90,bismark_deduplicate_00000129,516067298.838596,516067116.038596,11,182.80000001192093,502738150.385284,502738333.185284,9,182.80000001192093
91,bismark_deduplicate_00000141,510633810.846027,510633628.046027,11,182.80000001192093,561394518.100889,561395005.567556,21,487.4666670560837
92,bismark_deduplicate_00000153,513240434.058843,513240251.258843,11,182.80000001192093,624945475.935062,624945658.735062,10,182.79999995231628
93,bismark_deduplicate_00000165,509879768.613596,509879585.813596,11,182.80000001192093,615156294.812384,615156477.612384,8,182.79999995231628
94,bismark_deduplicate_00000177,512146991.921344,512146809.121343,11,182.80000096559525,651329032.492855,651329215.292855,32,182.80000007152557
95,bismark_deduplicate_00000189,512146809.121343,512146626.321343,11,182.80000001192093,628845403.700603,628845586.500603,30,182.79999995231628
