,vertex,end_time_dyn,start_time_dyn,processor_dyn,duration_dyn,start_time_stat,end_time_stat,processor_stat,duration_stat
45,MERGED_LIB_ATAQV_MKARV_00000029,43025947.4322053,42967925.0697053,35,58022.36249999702,39161516.4845364,39219538.8470364,30,58022.36249999702
46,MERGED_LIB_ATAQV_MKARV_00000046,28930039.876858,28872017.514358,34,58022.362500000745,40211277.7792269,40269300.1417269,30,58022.36250000447
47,MERGED_LIB_ATAQV_MKARV_00000085,25916782.5824937,25858760.2199937,31,58022.362500000745,44368146.9482123,44426169.3107123,35,58022.36249999702
48,MERGED_LIB_ATAQV_MKARV_00000124,25916557.8362489,25858535.4737489,33,58022.362500000745,44368156.9557398,44426179.3182397,33,58022.36249989271
49,MERGED_LIB_ATAQV_MKARV_00000163,28872017.514358,28813995.151858,34,58022.362500000745,44426179.3182397,44484201.6807397,33,58022.36250000447
50,MERGED_LIB_BAM_00000009,23069972.1460669,22148569.8210669,30,921402.3249999993,8241873.07348906,9163275.39848906,35,921402.3250000002
51,MERGED_LIB_BAM_00000068,9520233.75126129,8598831.42626129,32,921402.3249999993,8241873.07348906,9163275.39848906,32,921402.3250000002
52,MERGED_LIB_BAM_00000107,9462215.63223382,8540813.30723382,34,921402.3250000011,8241873.07348906,9163275.39848906,31,921402.3250000002
53,MERGED_LIB_BAM_00000146,9461990.88598906,8540588.56098906,31,921402.3250000011,8241873.07348906,9163275.39848906,33,921402.3250000002
54,MERGED_LIB_BAM_00000185,9404189.94311273,8482787.61811274,33,921402.3249999899,8241873.07348906,9163275.39848906,34,921402.3250000002
55,MERGED_LIB_BAM_FILTER_00000030,24346569.6191246,23667189.5941246,30,679380.0249999985,9163275.39848906,9842655.42348906,35,679380.0250000004
56,MERGED_LIB_BAM_FILTER_00000049,10199613.7762613,9520233.75126129,32,679380.0250000097,9163275.39848906,9842655.42348906,32,679380.0250000004
57,MERGED_LIB_BAM_FILTER_00000088,10141595.6572338,9462215.63223382,34,679380.0249999799,9163275.39848906,9842655.42348906,31,679380.0250000004
58,MERGED_LIB_BAM_FILTER_00000127,10141370.9109891,9461990.88598906,31,679380.0250000395,9163275.39848906,9842655.42348906,33,679380.0250000004
59,MERGED_LIB_BAM_FILTER_00000166,10084925.6779234,9405545.65292338,33,679380.0250000209,9163275.39848906,9842655.42348906,34,679380.0250000004
60,MERGED_LIB_BAM_REMOVE_ORPHAN_00000011,24796726.4691246,24404591.9816246,30,392134.48750000075,13339480.1898963,13731614.6773963,35,392134.4874999989
61,MERGED_LIB_BAM_REMOVE_ORPHAN_00000078,10649770.6262613,10257636.1387613,32,392134.4874999989,13339480.1898963,13731614.6773963,32,392134.4874999989
62,MERGED_LIB_BAM_REMOVE_ORPHAN_00000117,10591752.5072338,10199618.0197338,34,392134.48750000075,13339480.1898963,13731614.6773963,31,392134.4874999989
63,MERGED_LIB_BAM_REMOVE_ORPHAN_00000156,10591527.7609891,10199393.2734891,31,392134.4874999989,13339480.1898963,13731614.6773963,33,392134.4874999989
64,MERGED_LIB_BAM_REMOVE_ORPHAN_00000195,10535082.5279234,10142948.0404234,33,392134.4874999989,13339480.1898963,13731614.6773963,34,392134.4874999989
65,MERGED_LIB_BIGWIG_00000026,25751347.1541491,25550848.1916491,30,200498.9624999985,26384700.4018736,26585199.3643736,35,200498.9624999985
66,MERGED_LIB_BIGWIG_00000042,10850779.3603514,10650280.3978514,32,200498.96250000037,13731614.6773963,13932113.6398963,32,200498.96250000037
67,MERGED_LIB_BIGWIG_00000081,10792761.2413239,10592262.2788239,34,200498.96250000037,13731614.6773963,13932113.6398963,31,200498.96250000037
68,MERGED_LIB_BIGWIG_00000120,10792536.4950792,10592037.5325792,31,200498.96250000037,32115337.8567413,32315836.8192413,33,200498.9624999985
69,MERGED_LIB_BIGWIG_00000159,10736091.2620135,10535592.2995135,33,200498.96250000037,26384700.4018736,26585199.3643736,34,200498.9624999985
70,MERGED_LIB_CONSENSUS_00000032,40367250.1097592,40309227.7472592,34,58022.36249999702,31432007.5399852,31490029.9024852,30,58022.362500000745
71,MERGED_LIB_CONSENSUS_00000063,23762762.5680587,23608036.2680587,18,154726.30000000075,26647157.492254,26801883.792254,18,154726.30000000075
72,MERGED_LIB_CONSENSUS_00000102,23665833.8843139,23607811.5218139,30,58022.362500000745,26871823.0643736,26929845.4268736,35,58022.36249999702
73,MERGED_LIB_CONSENSUS_00000141,23611558.3320897,23553535.9695897,32,58022.362500000745,26871823.0643736,26929845.4268736,34,58022.36249999702
74,MERGED_LIB_CONSENSUS_00000180,23508647.7052811,23450625.3427811,34,58022.362500000745,32718505.2442413,32776527.6067413,33,58022.362500000745
75,MERGED_LIB_CONSENSUS_ANNOTATE_00000036,40425272.4722592,40367250.1097592,34,58022.36250000447,39103494.1220364,39161516.4845364,30,58022.36250000447
76,MERGED_LIB_CONSENSUS_ANNOTATE_00000052,23917488.8680587,23762762.5680587,18,154726.30000000075,35862670.196318,36017396.496318,20,154726.29999999702
77,MERGED_LIB_CONSENSUS_ANNOTATE_00000091,24404591.9816246,24346569.6191246,30,58022.362500000745,44484191.6732123,44542214.0357123,35,58022.36250000447
78,MERGED_LIB_CONSENSUS_ANNOTATE_00000130,24231496.5742555,24173474.2117555,32,58022.362500000745,44614685.5358971,44672707.8983971,34,58022.36250000447
79,MERGED_LIB_CONSENSUS_ANNOTATE_00000169,27545415.0014971,27487392.6389971,34,58022.362500000745,40853453.081335,40911475.443835,31,58022.36249999702
80,MERGED_LIB_CONSENSUS_COUNTS_00000015,40425365.0883237,40367342.7258237,30,58022.36249999702,31490149.0568462,31548171.4193462,11,58022.36249999702
81,MERGED_LIB_CONSENSUS_COUNTS_00000050,24289518.9367555,24231496.5742555,32,58022.362500000745,28079217.494531,28233943.794531,21,154726.30000000075
82,MERGED_LIB_CONSENSUS_COUNTS_00000089,24344384.5584777,24189658.2584777,20,154726.30000000075,30011374.1056792,30069396.4681792,10,58022.362500000745
83,MERGED_LIB_CONSENSUS_COUNTS_00000128,24290109.0062535,24135382.7062535,19,154726.30000000075,34401592.385613,34459614.748113,34,58022.36249999702
84,MERGED_LIB_CONSENSUS_COUNTS_00000167,27487392.6389971,27429370.2764971,34,58022.362500000745,33940403.5239587,33998425.8864587,34,58022.36250000447
85,MERGED_LIB_CONSENSUS_DESEQ2_00000019,40483387.4508237,40425365.0883237,30,58022.36250000447,31548171.4193462,31606193.7818462,11,58022.362500000745
86,MERGED_LIB_CONSENSUS_DESEQ2_00000040,24347541.2992555,24289518.9367555,32,58022.362500000745,29016425.6742296,29171151.9742296,21,154726.30000000075
87,MERGED_LIB_CONSENSUS_DESEQ2_00000079,24499110.8584777,24344384.5584777,20,154726.30000000075,30069396.4681792,30127418.8306792,10,58022.362500000745
88,MERGED_LIB_CONSENSUS_DESEQ2_00000118,24444835.3062535,24290109.0062535,19,154726.30000000075,35646658.7972448,35801385.0972448,19,154726.29999999702
89,MERGED_LIB_CONSENSUS_DESEQ2_00000157,29046084.601858,28988062.239358,34,58022.362500000745,36168313.4905377,36323039.7905377,18,154726.29999999702
90,MERGED_LIB_MACS2_00000014,39263748.0440021,38878787.8565021,35,384960.1875,31047047.3524852,31432007.5399852,30,384960.1875
91,MERGED_LIB_MACS2_00000051,22519833.7378619,22134873.5503619,34,384960.1875,25216717.6014969,25601677.7889969,30,384960.1875
92,MERGED_LIB_MACS2_00000090,22461815.6188345,22076855.4313345,31,384960.1875,25999740.2143736,26384700.4018736,35,384960.1875
93,MERGED_LIB_MACS2_00000129,22461590.8725897,22076630.6850897,33,384960.1875,25999740.2143736,26384700.4018736,34,384960.1875
94,MERGED_LIB_MACS2_00000168,22405145.639524,22020185.452024,35,384960.1875,31730377.6692413,32115337.8567413,33,384960.1875
95,MERGED_LIB_MACS2_ANNOTATE_00000035,42660692.6451613,42596722.6826613,35,63969.96249999851,37548049.9048036,37612019.8673036,30,63969.96250000596
96,MERGED_LIB_MACS2_ANNOTATE_00000071,26905592.3064403,26841622.3439403,34,63969.962500002235,37612019.8673036,37675989.8298036,30,63969.96249999851
97,MERGED_LIB_MACS2_ANNOTATE_00000110,25858760.2199937,25794790.2574937,31,63969.96249999851,43743392.3434197,43807362.3059197,34,63969.96249999851
98,MERGED_LIB_MACS2_ANNOTATE_00000149,25858535.4737489,25794565.5112489,33,63969.96249999851,34983438.4837897,35047408.4462897,34,63969.96250000596
99,MERGED_LIB_MACS2_ANNOTATE_00000188,25801532.7918666,25737562.8293666,35,63969.962500002235,38941624.6459693,39005594.6084693,33,63969.96249999851
100,MERGED_LIB_MACS2_QC_00000018,43083969.7947053,43025947.4322053,35,58022.36250000447,37663323.4557162,37721345.8182162,11,58022.36249999702
101,MERGED_LIB_MACS2_QC_00000073,28988062.239358,28930039.876858,34,58022.362500000745,38657499.5705667,38812225.8705667,18,154726.30000000447
102,MERGED_LIB_MACS2_QC_00000112,25974804.9449937,25916782.5824937,31,58022.362500000745,43847239.4569867,43905261.8194867,33,58022.36249999702
103,MERGED_LIB_MACS2_QC_00000151,29431798.046376,29373775.683876,33,58022.362500000745,44063326.7333938,44121349.0958938,34,58022.36249999702
104,MERGED_LIB_MACS2_QC_00000190,29373775.683876,29315753.321376,33,58022.362500000745,39045471.7595364,39103494.1220364,30,58022.36249999702
105,MERGED_LIB_PICARD_METRICS_00000012,26011957.6166491,25809369.5166491,30,202588.09999999776,38657198.0405232,38859786.1405232,31,202588.1000000015
106,MERGED_LIB_PICARD_METRICS_00000066,11111389.8228514,10908801.7228514,32,202588.1000000015,26512128.6740522,26714716.7740522,32,202588.09999999776
107,MERGED_LIB_PICARD_METRICS_00000105,11053371.703824,10850783.603824,34,202588.09999999963,26512128.6740522,26714716.7740522,31,202588.09999999776
108,MERGED_LIB_PICARD_METRICS_00000144,11053146.9575792,10850558.8575792,31,202588.09999999963,44049514.1232123,44252102.2232123,35,202588.1000000015
109,MERGED_LIB_PICARD_METRICS_00000183,10996701.7245135,10794113.6245135,33,202588.1000000015,38657198.0405232,38859786.1405232,32,202588.1000000015
110,MERGED_LIB_PLOTFINGERPRINT_00000013,26069979.9791491,26011957.6166491,30,58022.362500000745,44252102.2232123,44310124.5857123,35,58022.36249999702
111,MERGED_LIB_PLOTFINGERPRINT_00000067,11169412.1853514,11111389.8228514,32,58022.36249999888,38859786.1405232,38917808.5030232,32,58022.36249999702
112,MERGED_LIB_PLOTFINGERPRINT_00000106,11111394.066324,11053371.703824,34,58022.36249999888,38859786.1405232,38917808.5030232,31,58022.36249999702
113,MERGED_LIB_PLOTFINGERPRINT_00000145,11111169.3200792,11053146.9575792,31,58022.362500000745,39005594.6084693,39063616.9709693,33,58022.36249999702
114,MERGED_LIB_PLOTFINGERPRINT_00000184,11054724.0870135,10996701.7245135,33,58022.36249999888,43807362.3059197,43865384.6684197,34,58022.36249999702
115,MERGED_LIB_PLOTPROFILE_00000007,26356674.292187,26070050.5921871,30,286623.6999999024,26585199.3643736,26871823.0643736,35,286623.700000003
116,MERGED_LIB_PLOTPROFILE_00000054,18011902.9303996,17725279.2303996,10,286623.69999999925,21328778.6106708,21615402.3106708,8,286623.69999999925
117,MERGED_LIB_PLOTPROFILE_00000093,17953884.8113721,17667261.1113721,6,286623.700000003,22954045.7302317,23240669.4302317,11,286623.700000003
118,MERGED_LIB_PLOTPROFILE_00000132,17953660.0651274,17667036.3651274,11,286623.69999999925,32431881.5442413,32718505.2442413,33,286623.69999999925
119,MERGED_LIB_PLOTPROFILE_00000171,17597753.0653877,17311129.3653877,32,286623.69999999925,26585199.3643736,26871823.0643736,34,286623.700000003
120,MERGED_LIB_PRESEQ_00000010,24173474.2117555,24115451.8492555,32,58022.362500000745,38410339.6685966,38468362.0310966,30,58022.36249999702
121,MERGED_LIB_PRESEQ_00000041,10257636.1387613,10199613.7762613,32,58022.362500000745,29644182.5280912,29876271.9780912,24,232089.44999999925
122,MERGED_LIB_PRESEQ_00000080,10199618.0197338,10141595.6572338,34,58022.36249999888,30165837.5393337,30320563.8393337,23,154726.29999999702
123,MERGED_LIB_PRESEQ_00000119,10199393.2734891,10141370.9109891,31,58022.362500000745,40331799.0264734,40389821.3889734,32,58022.36249999702
124,MERGED_LIB_PRESEQ_00000158,10142948.0404234,10084925.6779234,33,58022.362500000745,43865384.6684197,43923407.0309197,34,58022.36250000447
125,MERGED_REP_BAM_00000016,25809369.5166491,25751347.1541491,30,58022.362500000745,26338061.5865522,26396083.9490522,32,58022.362500000745
126,MERGED_REP_BAM_00000055,10908801.7228514,10850779.3603514,32,58022.36249999888,20507731.8355639,20565754.1980639,31,58022.36249999702
127,MERGED_REP_BAM_00000094,10850783.603824,10792761.2413239,34,58022.36250010133,20565754.1980639,20623776.5605639,31,58022.362500000745
128,MERGED_REP_BAM_00000133,10850558.8575792,10792536.4950792,31,58022.36249999888,32315836.8192413,32373859.1817413,33,58022.362500000745
129,MERGED_REP_BAM_00000172,10794113.6245135,10736091.2620135,33,58022.36249999888,26338061.5865522,26396083.9490522,31,58022.362500000745
130,MERGED_REP_BIGWIG_00000031,26734631.0446612,26676608.6821612,30,58022.362500000745,28861699.3742296,29016425.6742296,21,154726.30000000075
131,MERGED_REP_BIGWIG_00000061,17579458.9226867,17424732.6226867,23,154726.30000000075,28599787.3467555,28754513.6467555,23,154726.30000000075
132,MERGED_REP_BIGWIG_00000100,18043095.4969522,17888369.1969522,22,154726.29999999702,29123611.4017038,29278337.7017038,23,154726.30000000075
133,MERGED_REP_BIGWIG_00000139,18042870.7507074,17888144.4507074,20,154726.30000000075,34922208.6419445,35076934.9419445,19,154726.30000000447
134,MERGED_REP_BIGWIG_00000178,17988595.1984831,17833868.8984831,18,154726.29999999702,29010401.1425989,29068423.5050989,9,58022.362500000745
135,MERGED_REP_CONSENSUS_00000033,26792653.4071612,26734631.0446612,30,58022.36249999702,26454106.3115522,26512128.6740522,32,58022.362500000745
136,MERGED_REP_CONSENSUS_00000062,18125064.9135644,18067042.5510643,32,58022.3625000976,22811437.356003,22966163.656003,19,154726.29999999702
137,MERGED_REP_CONSENSUS_00000101,18198905.9995334,18044179.6995334,21,154726.30000000075,22966163.656003,23120889.956003,19,154726.30000000075
138,MERGED_REP_CONSENSUS_00000140,18198681.2532886,18043954.9532886,19,154726.30000000075,32776527.6067413,32834549.9692413,33,58022.36249999702
139,MERGED_REP_CONSENSUS_00000179,18009020.1885643,17950997.8260643,32,58022.362500000745,26454106.3115522,26512128.6740522,31,58022.362500000745
