vertex,start_time_dyn,duration_dyn,processor_dyn,start_time_stat,duration_stat,processor_stat
output_documentation_00000163,13161.6,1462.3999999999996,3,647447695.982018,974.9333339929581,15
get_software_versions_00000142,13161.6,1462.3999999999996,0,637653599.02491,1462.3999999761581,1
get_software_versions_00000154,13161.6,1462.3999999999996,2,628872522.33986,1462.4000000953674,0
get_software_versions_00000166,13161.6,1462.3999999999996,4,628874078.37008,974.9333330392838,16
get_software_versions_00000118,14624.0,1462.3999999999996,2,628869203.703413,974.9333330392838,16
get_software_versions_00000130,14624.0,1462.3999999999996,4,637649211.824911,1462.3999990224838,1
get_software_versions_00000106,14624.0,1462.3999999999996,0,628868228.77008,974.9333330392838,16
output_documentation_00000115,14624.0,1462.3999999999996,1,647445747.163527,1462.3999999761581,5
output_documentation_00000127,14624.0,1462.3999999999996,3,647445746.425911,974.9333330392838,17
output_documentation_00000139,14624.0,1462.3999999999996,5,647445745.804793,974.9333330392838,13
get_software_versions_00000082,16086.4,1462.3999999999996,2,628870174.658411,974.9333329200745,15
output_documentation_00000079,16086.4,1462.3999999999996,1,647443551.519659,731.1999999284744,26
output_documentation_00000091,16086.4,1462.3999999999996,3,647441360.274086,1462.3999999761581,3
output_documentation_00000103,16086.4,1462.3999999999996,5,647441846.692578,974.9333330392838,17
get_software_versions_00000070,16086.4,1462.3999999999996,0,628869203.967937,974.9333339929581,17
get_software_versions_00000094,16086.4,1462.3999999999996,4,628872124.525077,974.9333339929581,15
get_software_versions_00000034,17548.8,1462.4000000000015,0,628873984.320056,1462.4000000953674,3
get_software_versions_00000046,17548.8,1462.4000000000015,2,642543800.003434,1462.4000000953674,2
get_software_versions_00000058,17548.8,1462.4000000000015,4,628868229.034604,974.9333330392838,17
output_documentation_00000067,17548.8,1462.4000000000015,5,647442822.674086,1462.3999999761581,3
output_documentation_00000043,17548.8,1462.4000000000015,1,647443551.674939,731.1999999284744,27
output_documentation_00000055,17548.8,1462.4000000000015,3,647441360.739924,1462.4000000953674,0
output_documentation_00000019,19011.2,1462.3999999999978,3,647443551.36438,731.2000000476837,25
output_documentation_00000031,19011.2,1462.3999999999978,5,647442820.16438,731.2000000476837,25
get_software_versions_00000022,19011.2,1462.3999999999978,4,637653599.18019,1462.3999999761581,0
get_software_versions_00000005,19011.2,1462.3999999999978,1,628872128.503413,974.9333330392838,16
output_documentation_00000012,19011.2,1462.3999999999978,2,647441359.963527,1462.4000000953674,5
fastqc_00000884,1093624.9375,1093624.9375,8,0.0,5832666.33333333,12
trim_galore_00000948,1093624.9375,8887618.95,33,312781478.30069,8887618.949999988,34
fastqc_00000872,1093807.7375,1093624.9374999998,7,0.0,5832666.33333333,16
trim_galore_00000936,1093807.7375,8887618.95,30,62556295.660138,8887618.949999996,30
fastqc_00000848,1093990.5375,1093624.9375,9,0.0,8748999.5,4
fastqc_00000860,1093990.5375,1093624.9375,10,5832666.33333333,2916333.16666667,20
fastqc_00000728,2187432.675,1093624.9375,7,0.0,2916333.16666667,19
fastqc_00000464,2916820.63333333,2916333.16666667,19,0.0,1093624.9375,11
fastqc_00000452,2916820.63333333,2916333.16666667,22,0.0,1093624.9375,10
fastqc_00000440,2917308.1,2916333.1666666702,20,0.0,4374499.75,29
fastqc_00000416,2917795.56666667,2916333.1666666595,21,0.0,8748999.5,3
fastqc_00000404,2917795.56666667,2916333.1666666595,23,7655374.5625,1093624.9375,10
fastqc_00000428,2917795.56666667,2916333.1666666595,18,0.0,8748999.5,1
fastqc_00000620,3281240.4125,1093624.9374999995,6,2187249.875,1093624.9375,10
fastqc_00000632,3281240.4125,1093624.9374999995,9,2187249.875,1093624.9375,7
fastqc_00000644,3281240.4125,1093624.9374999995,10,0.0,1093624.9375,7
fastqc_00000512,4374682.55,1093624.9375,7,0.0,2916333.16666667,22
fastqc_00000020,4376693.35,4374499.75,24,2916333.16666667,2916333.1666666605,21
fastqc_00000001,4376693.35,4374499.75,25,2916333.16666667,2916333.1666666605,19
fastqc_00000032,4376693.35,4374499.75,29,2916333.16666667,2916333.1666666605,23
fastqc_00000320,5468124.6875,1093624.9375,11,0.0,8748999.5,2
fastqc_00000308,5468124.6875,1093624.9375,8,0.0,8748999.5,0
fastqc_00000296,5468307.4875,1093624.9375,7,5832666.33333333,2916333.16666667,22
fastqc_00000260,5468490.2875,1093624.9375,6,0.0,5832666.33333333,14
fastqc_00000284,5468490.2875,1093624.9375,10,0.0,5832666.33333333,17
fastqc_00000272,5468490.2875,1093624.9375,9,0.0,5832666.33333333,15
fastqc_00000092,5833153.8,2916333.1666666707,22,6561749.625,1093624.9375,11
fastqc_00000104,5833153.8,2916333.1666666707,19,6561749.625,1093624.9375,10
fastqc_00000080,5833641.26666667,2916333.1666666595,20,5468124.6875,1093624.9375,7
fastqc_00000068,5834128.73333333,2916333.1666666707,18,2916333.16666667,2916333.1666666605,18
fastqc_00000056,5834128.73333333,2916333.1666666707,21,5468124.6875,1093624.9375,10
fastqc_00000044,5834128.73333333,2916333.1666666707,23,5468124.6875,1093624.9375,11
fastqc_00000248,6561749.625,1093624.9375,11,0.0,5832666.33333333,13
fastqc_00000188,6562115.225,1093624.9375,6,0.0,4374499.75,28
fastqc_00000176,7655374.5625,1093624.9375,11,0.0,4374499.75,27
fastqc_00000164,7655374.5625,1093624.9375,8,0.0,4374499.75,25
fastqc_00000152,7655557.3625,1093624.937500001,7,0.0,4374499.75,24
trim_galore_00000888,31278330.630069,8887618.95,32,156390739.150345,8887618.949999988,33
trim_galore_00000900,31278330.630069,8887618.95,34,187668886.980414,8887618.949999988,32
trim_galore_00000876,32371772.767569,8887618.95,33,156390739.150345,8887618.949999988,35
trim_galore_00000864,32371955.567569,8887618.95,30,218947034.810483,8887618.949999988,35
trim_galore_00000840,62556295.660138,8887618.949999996,31,93834443.4902071,8887618.949999899,35
trim_galore_00000852,62556295.660138,8887618.949999996,35,0.0,8887618.95,30
trim_galore_00000828,62556478.460138,8887618.949999996,34,375337773.960828,8887618.949999988,33
trim_galore_00000816,62556478.460138,8887618.949999996,32,281503330.470621,8887618.949999988,35
trim_galore_00000804,63649920.597638,8887618.949999996,33,344059626.130759,8887618.949999988,33
trim_galore_00000792,63650103.397638,8887618.949999996,30,281503330.470621,8887618.949999988,30
trim_galore_00000780,93834443.4902071,8887618.949999899,35,125112591.320276,8887618.949999988,35
trim_galore_00000768,93834443.4902071,8887618.949999899,31,218947034.810483,8887618.949999988,30
trim_galore_00000756,93834626.2902071,8887618.949999899,34,125112591.320276,8887618.949999988,32
trim_galore_00000744,93834626.2902071,8887618.949999899,32,187668886.980414,8887618.949999988,30
trim_galore_00000732,94928068.4277071,8887618.949999899,33,31278147.830069,8887618.95,34
trim_galore_00000684,125112774.120276,8887618.950000003,34,344059626.130759,8887618.949999988,31
trim_galore_00000672,125112774.120276,8887618.950000003,32,312781478.30069,8887618.949999988,32
trim_galore_00000660,126206216.257776,8887618.950000003,33,281503330.470621,8887618.949999988,33
trim_galore_00000624,156390739.150345,8887618.949999988,31,93834443.4902071,8887618.949999899,30
trim_galore_00000612,156390921.950345,8887618.949999988,34,62556295.660138,8887618.949999996,32
trim_galore_00000600,156390921.950345,8887618.949999988,32,62556295.660138,8887618.949999996,35
trim_galore_00000588,157484364.087845,8887618.949999988,33,0.0,8887618.95,31
trim_galore_00000540,187669069.780414,8887618.950000018,34,125112591.320276,8887618.949999988,31
trim_galore_00000528,187669069.780414,8887618.950000018,32,156390739.150345,8887618.949999988,30
trim_galore_00000504,188762694.717914,8887618.950000018,30,31278147.830069,8887618.95,32
trim_galore_00000492,218947034.810483,8887618.949999988,35,93834443.4902071,8887618.949999899,34
trim_galore_00000468,218947217.610483,8887618.950000018,34,375337773.960828,8887618.949999988,35
trim_galore_00000456,218947217.610483,8887618.950000018,32,312781478.30069,8887618.949999988,35
trim_galore_00000432,220040842.547983,8887618.950000018,30,344059626.130759,8887618.949999988,34
trim_galore_00000396,250225365.440552,8887618.950000018,34,250225182.640552,8887618.949999988,31
trim_galore_00000360,251318990.378052,8887618.950000018,30,93834443.4902071,8887618.949999899,33
trim_galore_00000348,281503330.470621,8887618.949999988,35,62556295.660138,8887618.949999996,31
trim_galore_00000336,281503330.470621,8887618.949999988,31,31278147.830069,8887618.95,31
trim_galore_00000324,281503513.270621,8887618.949999988,34,0.0,8887618.95,33
trim_galore_00000192,344059626.130759,8887618.949999988,31,62556295.660138,8887618.949999996,34
trim_galore_00000168,344059808.930759,8887618.949999988,32,31278147.830069,8887618.95,35
trim_galore_00000180,344059808.930759,8887618.949999988,34,0.0,8887618.95,32
trim_galore_00000156,345153251.068259,8887618.949999988,33,31278147.830069,8887618.95,30
trim_galore_00000144,345153433.868259,8887618.949999988,30,62556295.660138,8887618.949999996,33
trim_galore_00000120,375337773.960828,8887618.949999988,31,93834443.4902071,8887618.949999899,32
bismark_deduplicate_00000981,413897442.953775,182.80000001192093,11,620051068.484282,182.79999995231628,6
preseq_00000983,413897443.109054,182.79999995231628,10,642542337.292875,1462.3999999761581,4
bismark_methXtract_00000976,413897625.753775,7639.925000011921,11,628853227.602378,7639.924999952316,7
qualimap_00000973,413897626.278501,2488.8250000476837,10,628845592.304261,9955.300000071526,26
bismark_summary_00000974,413905265.923873,182.80000001192093,10,642542337.758714,1462.4000000953674,1
bismark_report_00000978,413905269.439885,877.7249999642372,11,642534717.875134,2340.600000023842,19
bismark_deduplicate_00000993,420085155.978775,182.79999995231628,10,620050885.905668,487.4666669368744,18
preseq_00000995,420085156.134054,182.80000001192093,9,642542336.801802,731.1999999284744,27
bismark_methXtract_00000988,420085338.778775,7639.925000011921,10,624976405.809851,30559.699999928474,27
qualimap_00000985,420085339.303501,2488.824999988079,9,625006782.719039,19910.600000023842,3
bismark_summary_00000986,420092978.948873,182.80000001192093,9,642542337.448155,1462.3999999761581,3
bismark_align_00000939,437894069.620966,6187713.024999976,31,487804993.115814,6187713.025000036,35
bismark_align_00000963,437894069.620966,6187713.024999976,35,532723175.506594,6187713.025000036,32
multiqc_00000977,437894069.805202,182.80000001192093,11,651337221.439619,182.80000007152557,31
multiqc_00000989,437894252.53375,182.80000001192093,10,651330978.616365,487.4666670560837,20
bismark_align_00000855,442568784.370649,6187713.025000036,30,444491001.940814,6187713.024999976,35
bismark_deduplicate_00000957,442568784.771027,182.79999995231628,11,628845404.877378,182.80000007152557,7
preseq_00000959,442568784.926306,182.80000001192093,10,651329244.828533,487.4666659832001,21
bismark_methXtract_00000952,442568967.571027,7639.925000011921,11,628845587.677378,7639.924999952316,7
qualimap_00000949,442568968.095753,2488.824999988079,10,628855730.987326,9955.299999952316,25
bismark_summary_00000950,442576607.741125,182.80000001192093,10,651329244.517974,487.4666659832001,19
bismark_report_00000954,442576611.257138,877.7249999642372,11,651330100.341058,877.7250000238419,33
multiqc_00000953,442577489.094924,182.80000001192093,10,651337039.505189,182.80000007152557,8
bismark_align_00000891,444081782.645966,6187713.025000036,31,600174061.883351,6187713.024999976,31
bismark_deduplicate_00000945,444081783.046344,182.80000001192093,11,624945659.045621,182.79999995231628,8
bismark_deduplicate_00000969,444081783.046344,182.80000001192093,9,628845586.811808,182.79999995231628,31
preseq_00000971,444081783.201623,182.79999995231628,8,651329245.139092,487.4666659832001,23
preseq_00000947,444081783.201623,182.79999995231628,10,647436970.4091,731.1999999284744,24
bismark_align_00000831,444081965.445966,6187713.024999976,32,423103455.15242,7599916.058305025,35
bismark_align_00000867,444081965.445966,6187713.024999976,34,415503540.740897,7599914.4115229845,35
bismark_deduplicate_00000933,444081965.846344,182.80000001192093,9,624945476.55618,182.79999995231628,6
bismark_deduplicate_00000909,444081965.846344,182.80000001192093,11,624945476.400901,182.80000007152557,7
preseq_00000911,444081966.001623,182.80000001192093,10,647436971.870632,974.9333329200745,16
preseq_00000935,444081966.001623,182.80000001192093,8,647437702.230218,731.1999999284744,28
qualimap_00000937,444081967.995056,2488.8250000476837,6,624986408.059204,13273.733334064484,15
bismark_methXtract_00000940,444081969.067781,7639.925000011921,7,624945964.244233,20373.133332967758,18
qualimap_00000961,444082148.646344,2488.824999988079,9,628858865.508546,6636.866667032242,21
bismark_methXtract_00000964,444082148.646344,7639.925000011921,11,628853227.136539,7639.925000071526,10
qualimap_00000901,444082150.795056,2488.824999988079,8,624976527.295148,9955.299999952316,26
bismark_methXtract_00000904,444082151.867781,7639.925000011921,10,624945662.258376,40746.2666670084,14
bismark_methXtract_00000928,444084456.820056,7639.924999952316,6,624945661.996424,20373.133333086967,21
qualimap_00000925,444084637.471344,2488.824999988079,9,628845592.901271,13273.7333329916,17
bismark_summary_00000938,444089609.237879,182.80000001192093,9,647437701.919659,731.1999999284744,26
bismark_report_00000942,444089612.753891,877.7250000238419,7,647436972.18006,2340.600000023842,22
bismark_summary_00000962,444089788.816442,182.80000001192093,8,651329244.983812,487.4666670560837,22
bismark_summary_00000902,444089792.282977,182.80000001192093,9,647436971.560073,974.9333330392838,14
bismark_report_00000906,444089795.553891,877.7250009775162,10,647437822.679661,877.7250000238419,9
multiqc_00000941,444090490.591677,182.80000001192093,9,651330116.078094,731.2000000476837,26
multiqc_00000965,444090670.17024,182.80000001192093,8,651337222.460469,182.79999995231628,7
multiqc_00000905,444090673.391677,182.80000096559525,11,651337404.94991,182.79999995231628,9
bismark_summary_00000926,444092096.990154,182.79999995231628,11,647436971.404793,974.9333329200745,13
bismark_report_00000930,444092100.506167,877.7250000238419,6,647436965.031613,2340.600000023842,21
multiqc_00000929,444092978.343952,182.80000001192093,10,651337769.52906,182.79999995231628,34
bismark_align_00000843,445175407.583466,6187713.025000036,33,450678714.965814,6187713.024999976,35
bismark_deduplicate_00000921,445175407.983844,182.80000001192093,11,637639922.73842,182.79999995231628,34
preseq_00000923,445175408.139123,182.79999995231628,10,637647749.114352,1462.3999990224838,5
bismark_methXtract_00000916,445175590.783844,7639.925000011921,11,637640105.53842,7639.925000071526,34
qualimap_00000913,445175591.30857,2488.824999988079,10,637640105.868802,2488.8250000476837,31
bismark_summary_00000914,445183230.953942,182.80000001192093,10,637649211.669631,1462.3999999761581,2
bismark_report_00000918,445183234.469954,877.7250009775162,11,637647745.46342,3510.899999976158,26
multiqc_00000917,445184112.307739,182.80000096559525,9,651337222.28811,731.1999999284744,26
bismark_align_00000783,448756497.395649,6187713.024999976,30,456477770.09202,6187713.025000036,33
bismark_deduplicate_00000861,448756497.796027,182.80000001192093,11,624945477.088125,487.4666670560837,20
preseq_00000863,448756497.951306,182.80000001192093,10,647439898.184645,1462.3999999761581,1
bismark_methXtract_00000856,448756680.596027,7639.925000011921,11,624945966.583099,30559.700000047684,24
qualimap_00000853,448756681.120753,2488.824999988079,10,625026693.319039,19910.600000023842,3
bismark_summary_00000854,448764320.766125,182.79999995231628,10,647442089.119659,731.2000000476837,26
multiqc_00000857,448765202.119923,182.80000001192093,10,651337586.417855,182.79999995231628,35
