,size,wf_name,inp_size,relation,ratio,algorithm
95,100,methylseq,110641579976,internal,1.00000000000002,MeDiH-BL
96,25000,eager_25000.dot,8330435694,internal,0.8966312986954382,MeDiH-BL
97,20000,chipseq_20000.dot,41366257414,internal,0.42299204474628105,MeDiH-BL
98,20000,chipseq_20000.dot,5058052541,internal,0.9818582561402885,MeDiH-BL
99,8000,chipseq_8000.dot,32978181418,internal,0.5234082851688905,MeDiH-BL
100,25000,atacseq_25000.dot,11187378708,internal,0.9193291274544493,MeDiH-BL
101,25000,atacseq_25000.dot,3908761308,internal,1.1439230436513546,MeDiH-BL
102,4000,chipseq_4000.dot,5058052541,internal,1.0121092175962327,MeDiH-BL
103,15000,eager_15000.dot,14754556884,internal,0.7316271763499531,MeDiH-BL
104,15000,chipseq_15000.dot,4807293396,internal,1.0301646456376965,MeDiH-BL
105,4000,eager_4000.dot,25705994498,internal,1.2140323190050903,MeDiH-BL
106,8000,eager_8000.dot,19100037384,internal,1.0875568159124187,MeDiH-BL
107,4000,methylseq_4000.dot,110641579976,internal,0.20642404813168744,MeDiH-BL
108,200,atacseq_200.dot,14091675276,internal,2.5992197570537874,MeDiH-BL
109,25000,chipseq_25000.dot,32978181418,internal,0.507905033815791,MeDiH-BL
110,10000,eager_10000.dot,19100037384,internal,0.9428217020211828,MeDiH-BL
111,30000,methylseq_30000.dot,11897958606,internal,0.2206053331364994,MeDiH-BL
112,30000,eager_30000.dot,19075314980,internal,0.6108178410525554,MeDiH-BL
113,25000,methylseq_25000.dot,11897958606,internal,0.22539948417812805,MeDiH-BL
114,15000,eager_15000.dot,19132169434,internal,0.779841042772336,MeDiH-BL
115,30000,methylseq_30000.dot,22500260922,internal,0.20292436461734,MeDiH-BL
116,2000,atacseq_2000.dot,11187378708,internal,1.6552555895331595,MeDiH-BL
117,10000,methylseq_10000.dot,11897958606,internal,0.2414996926291433,MeDiH-BL
118,25000,chipseq_25000.dot,4605965334,internal,1.0042959761889205,MeDiH-BL
119,30000,methylseq_30000.dot,6273818718,internal,0.2410069286105492,MeDiH-BL
120,30000,eager_30000.dot,8330435694,internal,0.856722117654488,MeDiH-BL
121,200,chipseq_200.dot,4605965334,internal,1.7513422084331904,MeDiH-BL
122,15000,methylseq_15000.dot,6273818718,internal,0.2613901940848821,MeDiH-BL
123,2000,methylseq_2000.dot,11897958606,internal,0.6592463339577951,MeDiH-BL
124,200,atacseq_200.dot,3908761308,internal,2.544411966366569,MeDiH-BL
125,8000,eager_8000.dot,8330435694,internal,1.1026928413968327,MeDiH-BL
126,200,atacseq_200.dot,2223941232,internal,2.268907481808477,MeDiH-BL
127,2000,chipseq_2000.dot,4807293396,internal,1.1795686739357398,MeDiH-BL
128,20000,eager_20000.dot,19100037384,internal,0.679090991292755,MeDiH-BL
129,10000,eager_10000.dot,19075314980,internal,1.0209384028479311,MeDiH-BL
130,25000,methylseq_25000.dot,6273818718,internal,0.2460528850682323,MeDiH-BL
131,10000,eager_10000.dot,8330435694,internal,1.0855046792134186,MeDiH-BL
132,200,methylseq_200.dot,8885797810,internal,1.0002506995546,MeDiH-BL
133,100,chipseq,32978181418,internal,1.018005928771925,MeDiH-BL
134,2000,methylseq_2000.dot,6761426956,internal,0.7701000104442969,MeDiH-BL
135,20000,atacseq_20000.dot,3908761308,internal,1.1946954828164307,MeDiH-BL
136,1000,atacseq_1000.dot,11187378708,internal,1.6856331979091443,MeDiH-BL
137,10000,chipseq_10000.dot,32978181418,internal,0.5216883594938873,MeDiH-BL
138,2000,methylseq_2000.dot,110641579976,internal,0.21010472988611828,MeDiH-BL
139,8000,chipseq_8000.dot,3793245764,internal,0.9970521723759453,MeDiH-BL
140,25000,eager_25000.dot,19132169434,internal,0.6770705277429768,MeDiH-BL
141,4000,eager_4000.dot,19132169434,internal,1.043880747714733,MeDiH-BL
142,1000,chipseq_1000.dot,4807293396,internal,1.2761689314088034,MeDiH-BL
143,15000,eager_15000.dot,19075314980,internal,0.7377459939102046,MeDiH-BL
144,200,methylseq_200.dot,6761426956,internal,1.0004185917544142,MeDiH-BL
145,100,methylseq,17027257018,internal,1.000000000170914,MeDiH-BL
146,1000,eager_1000.dot,8330435694,internal,1.4905056211460275,MeDiH-BL
147,4000,chipseq_4000.dot,3793245764,internal,1.1747180352000215,MeDiH-BL
148,200,methylseq_200.dot,11897958606,internal,1.000290838686391,MeDiH-BL
149,1000,atacseq_1000.dot,3908761308,internal,1.3822033826835862,MeDiH-BL
150,1000,chipseq_1000.dot,3793245764,internal,1.1287124270716333,MeDiH-BL
151,2000,atacseq_2000.dot,11809629756,internal,1.472924648781019,MeDiH-BL
152,4000,eager_4000.dot,8330435694,internal,1.8890737316318962,MeDiH-BL
153,200,methylseq_200.dot,22500260922,internal,1.0342544990997775,MeDiH-BL
154,4000,eager_4000.dot,14754556884,internal,1.2744149262868751,MeDiH-BL
155,100,methylseq,6761426956,internal,1.0000000004213674,MeDiH-BL
156,200,eager_200.dot,19100037384,internal,2.328536876283453,MeDiH-BL
157,20000,methylseq_20000.dot,8885797810,internal,0.2291235692439309,MeDiH-BL
158,25000,atacseq_25000.dot,2223941232,internal,1.1695149372519735,MeDiH-BL
159,20000,eager_20000.dot,25705994498,internal,0.5574722064968131,MeDiH-BL
160,25000,eager_25000.dot,19075314980,internal,0.6673650115741528,MeDiH-BL
161,15000,chipseq_15000.dot,5058052541,internal,1.0675634355271744,MeDiH-BL
162,1000,chipseq_1000.dot,5058052541,internal,1.1805614943466916,MeDiH-BL
163,15000,atacseq_15000.dot,11809629756,internal,0.9182598996947544,MeDiH-BL
