vertex startOrFinish time proc
MERGED_LIB_PLOTFINGERPRINT_00000067 finish 11169412.1853514 32
FASTQC_00000003 finish 16713234.325811 30
BWA_MEM_00000004 start 16713234.325811 30
MERGED_LIB_PLOTPROFILE_00000171 start 17311129.3653877 32
MERGED_REP_BIGWIG_00000061 start 17424732.6226867 23
MERGED_REP_BIGWIG_00000061 finish 17579458.9226867 23
MERGED_LIB_PLOTPROFILE_00000171 finish 17597753.0653877 32
MERGED_LIB_PLOTPROFILE_00000132 start 17667036.3651274 11
MERGED_LIB_PLOTPROFILE_00000093 start 17667261.1113721 6
MERGED_LIB_PLOTPROFILE_00000054 start 17725279.2303996 10
MERGED_REP_BIGWIG_00000178 start 17833868.8984831 18
MERGED_REP_MACS2_00000162 start 17834953.1010643 32
MERGED_REP_BIGWIG_00000139 start 17888144.4507074 20
MERGED_REP_BIGWIG_00000100 start 17888369.1969522 22
MERGED_REP_MACS2_00000123 start 17889228.6532886 19
MERGED_REP_MACS2_00000084 start 17889453.3995334 21
MERGED_REP_MACS2_00000162 finish 17892975.4635643 32
MERGED_REP_MACS2_00000045 start 17892975.4635643 32
MERGED_REP_MACS2_00000045 finish 17950997.8260643 32
MERGED_REP_CONSENSUS_00000179 start 17950997.8260643 32
MERGED_LIB_PLOTPROFILE_00000132 finish 17953660.0651274 11
MERGED_LIB_PLOTPROFILE_00000093 finish 17953884.8113721 6
MERGED_REP_BIGWIG_00000178 finish 17988595.1984831 18
MERGED_REP_CONSENSUS_00000179 finish 18009020.1885643 32
MERGED_REP_MACS2_ANNOTATE_00000174 start 18009020.1885643 32
MERGED_LIB_PLOTPROFILE_00000054 finish 18011902.9303996 10
BWA_MEM_00000004 finish 18024435.2633111 30
MERGED_REP_BIGWIG_00000139 finish 18042870.7507074 20
MERGED_REP_BIGWIG_00000100 finish 18043095.4969522 22
MERGED_REP_MACS2_00000123 finish 18043954.9532886 19
MERGED_REP_CONSENSUS_00000140 start 18043954.9532886 19
MERGED_REP_MACS2_00000084 finish 18044179.6995334 21
MERGED_REP_CONSENSUS_00000101 start 18044179.6995334 21
MERGED_REP_MACS2_ANNOTATE_00000174 finish 18067042.5510643 32
MERGED_REP_CONSENSUS_00000062 start 18067042.5510643 32
MERGED_REP_CONSENSUS_00000062 finish 18125064.9135644 32
MERGED_REP_MACS2_ANNOTATE_00000057 start 18125064.9135644 32
MERGED_REP_MACS2_ANNOTATE_00000057 finish 18183087.2760644 32
MERGED_REP_CONSENSUS_00000140 finish 18198681.2532886 19
MERGED_REP_MACS2_ANNOTATE_00000135 start 18198681.2532886 19
MERGED_REP_CONSENSUS_00000101 finish 18198905.9995334 21
MERGED_REP_MACS2_ANNOTATE_00000096 start 18198905.9995334 21
MERGED_REP_MACS2_ANNOTATE_00000135 finish 18353407.5532886 19
MERGED_REP_MACS2_ANNOTATE_00000096 finish 18353632.2995334 21
MERGED_REP_CONSENSUS_ANNOTATE_00000083 start 18353632.2995334 21
MERGED_REP_CONSENSUS_ANNOTATE_00000083 finish 18508358.5995334 21
MERGED_REP_CONSENSUS_ANNOTATE_00000122 start 19244159.6822581 20
MERGED_REP_CONSENSUS_ANNOTATE_00000122 finish 19398885.9822581 20
MERGED_REP_MACS2_QC_00000137 start 19504987.5071511 21
MERGED_REP_MACS2_QC_00000137 finish 19659713.8071511 21
MERGED_REP_MACS2_QC_00000098 start 19659713.8071511 21
MERGED_REP_MACS2_QC_00000098 finish 19814440.1071511 21
MERGED_REP_CONSENSUS_ANNOTATE_00000161 start 21815650.6835669 30
MERGED_REP_CONSENSUS_ANNOTATE_00000161 finish 21873673.0460669 30
SORT_BAM_00000008 start 21873673.0460669 30
MERGED_LIB_MACS2_00000168 start 22020185.452024 35
MERGED_REP_MACS2_QC_00000176 start 22076478.5084598 18
MERGED_LIB_MACS2_00000129 start 22076630.6850897 33
MERGED_LIB_MACS2_00000090 start 22076855.4313345 31
MERGED_LIB_MACS2_00000051 start 22134873.5503619 34
SORT_BAM_00000008 finish 22148569.8210669 30
MERGED_LIB_BAM_00000009 start 22148569.8210669 30
MERGED_REP_CONSENSUS_COUNTS_00000165 start 22224692.2910082 32
MERGED_REP_MACS2_QC_00000176 finish 22231204.8084598 18
MERGED_REP_CONSENSUS_COUNTS_00000126 start 22278971.1698536 19
MERGED_REP_CONSENSUS_COUNTS_00000087 start 22279195.9160983 20
MERGED_REP_CONSENSUS_COUNTS_00000165 finish 22282714.6535082 32
MERGED_REP_CONSENSUS_COUNTS_00000048 start 22282714.6535082 32
MERGED_REP_CONSENSUS_COUNTS_00000048 finish 22340737.0160082 32
MERGED_REP_CONSENSUS_ANNOTATE_00000044 start 22340737.0160082 32
MERGED_REP_CONSENSUS_ANNOTATE_00000044 finish 22398759.3785082 32
MERGED_REP_MACS2_QC_00000059 start 22398759.3785082 32
MERGED_LIB_MACS2_00000168 finish 22405145.639524 35
MERGED_REP_CONSENSUS_COUNTS_00000126 finish 22433697.4698536 19
MERGED_REP_CONSENSUS_DESEQ2_00000148 start 22433697.4698536 19
MERGED_REP_CONSENSUS_COUNTS_00000087 finish 22433922.2160983 20
MERGED_REP_CONSENSUS_DESEQ2_00000109 start 22433922.2160983 20
MERGED_REP_MACS2_QC_00000059 finish 22456781.7410082 32
MERGED_REP_CONSENSUS_DESEQ2_00000187 start 22456781.7410082 32
MERGED_LIB_MACS2_00000129 finish 22461590.8725897 33
MERGED_LIB_MACS2_00000090 finish 22461815.6188345 31
MERGED_REP_CONSENSUS_DESEQ2_00000187 finish 22514804.1035082 32
MERGED_REP_CONSENSUS_DESEQ2_00000070 start 22514804.1035082 32
MERGED_LIB_MACS2_00000051 finish 22519833.7378619 34
MERGED_REP_CONSENSUS_DESEQ2_00000070 finish 22572826.4660082 32
MERGED_REP_CONSENSUS_DESEQ2_00000148 finish 22588423.7698536 19
MERGED_REP_CONSENSUS_DESEQ2_00000109 finish 22588648.5160983 20
MERGED_LIB_BAM_00000009 finish 23069972.1460669 30
MERGED_LIB_CONSENSUS_00000180 start 23450625.3427811 34
MERGED_LIB_CONSENSUS_00000180 finish 23508647.7052811 34
MERGED_LIB_CONSENSUS_00000141 start 23553535.9695897 32
MERGED_LIB_CONSENSUS_00000102 start 23607811.5218139 30
MERGED_LIB_CONSENSUS_00000063 start 23608036.2680587 18
MERGED_LIB_CONSENSUS_00000141 finish 23611558.3320897 32
MERGED_LIB_CONSENSUS_00000102 finish 23665833.8843139 30
MERGED_LIB_BAM_FILTER_00000030 start 23667189.5941246 30
MERGED_LIB_CONSENSUS_00000063 finish 23762762.5680587 18
MERGED_LIB_CONSENSUS_ANNOTATE_00000052 start 23762762.5680587 18
MERGED_LIB_CONSENSUS_ANNOTATE_00000052 finish 23917488.8680587 18
MERGED_LIB_PRESEQ_00000010 start 24115451.8492555 32
MERGED_LIB_CONSENSUS_COUNTS_00000128 start 24135382.7062535 19
MERGED_LIB_PRESEQ_00000010 finish 24173474.2117555 32
MERGED_LIB_CONSENSUS_ANNOTATE_00000130 start 24173474.2117555 32
MERGED_LIB_CONSENSUS_COUNTS_00000089 start 24189658.2584777 20
MERGED_LIB_CONSENSUS_ANNOTATE_00000130 finish 24231496.5742555 32
MERGED_LIB_CONSENSUS_COUNTS_00000050 start 24231496.5742555 32
MERGED_LIB_CONSENSUS_COUNTS_00000050 finish 24289518.9367555 32
MERGED_LIB_CONSENSUS_DESEQ2_00000040 start 24289518.9367555 32
MERGED_LIB_CONSENSUS_COUNTS_00000128 finish 24290109.0062535 19
MERGED_LIB_CONSENSUS_DESEQ2_00000118 start 24290109.0062535 19
MERGED_LIB_CONSENSUS_COUNTS_00000089 finish 24344384.5584777 20
MERGED_LIB_CONSENSUS_DESEQ2_00000079 start 24344384.5584777 20
MERGED_LIB_BAM_FILTER_00000030 finish 24346569.6191246 30
MERGED_LIB_CONSENSUS_ANNOTATE_00000091 start 24346569.6191246 30
MERGED_LIB_CONSENSUS_DESEQ2_00000040 finish 24347541.2992555 32
MERGED_LIB_CONSENSUS_ANNOTATE_00000091 finish 24404591.9816246 30
MERGED_LIB_BAM_REMOVE_ORPHAN_00000011 start 24404591.9816246 30
MERGED_LIB_CONSENSUS_DESEQ2_00000118 finish 24444835.3062535 19
MERGED_LIB_CONSENSUS_DESEQ2_00000079 finish 24499110.8584777 20
IGV_00000043 start 24622222.7546072 32
IGV_00000043 finish 24680245.1171072 32
MERGED_LIB_BAM_REMOVE_ORPHAN_00000011 finish 24796726.4691246 30
IGV_00000121 start 24968525.3940005 19
IGV_00000121 finish 25123251.6940005 19
IGV_00000082 start 25492316.057559 30
IGV_00000082 finish 25550338.420059 30
