wf_name,size_x,relation,ratio_old,ratio_new
eager_8000.dot,8000,dyn_vs_base,2904.2715283912357,3.3798359222569743
atacseq_10000.dot,10000,dyn_vs_base,5558.720028748027,10.216200716396324
chipseq_20000.dot,20000,dyn_vs_base,11733.999734329387,13.552807433092115
chipseq_10000.dot,10000,dyn_vs_base,10197.784518684208,16.84163210268006
atacseq_4000.dot,4000,dyn_vs_base,5254.138560717672,9.078820749549532
chipseq_4000.dot,4000,dyn_vs_base,1033.1729656028845,2.978053272880472
eager_4000.dot,4000,dyn_vs_base,3360.572341548833,3.0584781220093484
methylseq_4000.dot,4000,dyn_vs_base,101.56673193505999,2.061730298055569
chipseq_1000.dot,1000,dyn_vs_base,883.1481471510239,2.138067512963394
eager_1000.dot,1000,dyn_vs_base,3278.2279171333876,2.1368279315721033
eager_25000.dot,25000,dyn_vs_base,1273.7358483159753,3.252919617417934
chipseq_25000.dot,25000,dyn_vs_base,949.8528225417256,2.8157214309633023
methylseq_15000.dot,15000,dyn_vs_base,204.69771057161887,2.2346773067904766
atacseq_30000.dot,30000,dyn_vs_base,14710.110984671748,19.538693686971687
methylseq_1000.dot,1000,dyn_vs_base,190.89080417830058,1.6604898431802606
atacseq_2000.dot,2000,dyn_vs_base,14684.129171370283,16.329113529504127
chipseq_25000.dot,25000,dyn_vs_base,6796.539627229899,12.973563491596105
methylseq_15000.dot,15000,dyn_vs_base,94.99790750459313,1.3733867765711072
methylseq_15000.dot,15000,dyn_vs_base,168.99670487191108,2.2076976908815924
chipseq_2000.dot,2000,dyn_vs_base,836.6502270911482,2.407364226965896
eager_2000.dot,2000,dyn_vs_base,2837.7491246609106,2.806916400081766
atacseq_20000.dot,20000,dyn_vs_base,3837.689541835544,6.174556408172063
atacseq_20000.dot,20000,dyn_vs_base,13330.66285491585,17.034303216585577
chipseq_2000.dot,2000,dyn_vs_base,11720.763021462679,18.43330604297961
methylseq_20000.dot,20000,dyn_vs_base,200.0106055921504,2.3620095736970357
atacseq_25000.dot,25000,dyn_vs_base,3170.5666755296543,5.979590332849616
atacseq_4000.dot,4000,dyn_vs_base,4147.958783936916,7.549376795653679
eager_200.dot,200,dyn_vs_base,0.7180677896352573,0.4176765872179408
atacseq_15000.dot,15000,dyn_vs_base,3645.8952677918737,6.396795441857578
methylseq_200.dot,200,dyn_vs_base,48.19783805988808,0.8607517581008141
atacseq_15000.dot,15000,dyn_vs_base,5594.7732741834625,9.798878057118609
methylseq_4000.dot,4000,dyn_vs_base,283.051527691628,2.193567689694533
methylseq_20000.dot,20000,dyn_vs_base,120.54738101784496,1.3719594450499897
chipseq_2000.dot,2000,dyn_vs_base,822.1926372712991,2.389237153968678
chipseq_15000.dot,15000,dyn_vs_base,1562.3117916008093,3.4104237059371503
chipseq_8000.dot,8000,dyn_vs_base,8003.450456289669,17.688405308986358
methylseq_8000.dot,8000,dyn_vs_base,206.8960330790148,2.4549498749934076
chipseq_8000.dot,8000,dyn_vs_base,855.5193627371626,2.6279236361764227
methylseq_8000.dot,8000,dyn_vs_base,657.8070404010318,2.61248209209081
eager_15000.dot,15000,dyn_vs_base,3020.138861868977,3.5631420420124873
chipseq_30000.dot,30000,dyn_vs_base,11292.130846074448,11.686871296761241
methylseq_30000.dot,30000,dyn_vs_base,165.27317235505097,2.5405287677641772
chipseq_1000.dot,1000,dyn_vs_base,693.0549812683937,2.0680691531833895
methylseq_10000.dot,10000,dyn_vs_base,273.77396789937285,2.421285389468101
methylseq_25000.dot,25000,dyn_vs_base,98.44722972741383,2.5539169913692295
chipseq_10000.dot,10000,dyn_vs_base,8971.843265175863,15.283685882406305
chipseq_20000.dot,20000,dyn_vs_base,1230.6424213743817,2.750831234323572
chipseq_20000.dot,20000,dyn_vs_base,11236.542437646758,13.738888383919328
chipseq_8000.dot,8000,dyn_vs_base,1234.7902574206555,3.3353456098318253
atacseq_25000.dot,25000,dyn_vs_base,5628.520722967965,8.505546541501928
chipseq_4000.dot,4000,dyn_vs_base,8371.176832458948,16.749193159931334
eager_15000.dot,15000,dyn_vs_base,4182.436050198347,3.572439022171978
chipseq_15000.dot,15000,dyn_vs_base,11084.83854941771,15.051052489033642
eager_4000.dot,4000,dyn_vs_base,2007.9465376814287,2.0370386621279457
eager_8000.dot,8000,dyn_vs_base,3091.062165501193,3.2037727487805663
methylseq_4000.dot,4000,dyn_vs_base,89.88544715274678,1.3233787295137094
atacseq_200.dot,200,dyn_vs_base,0.19271215260843372,0.38473083981690676
chipseq_25000.dot,25000,dyn_vs_base,1185.3357862290904,3.6301473419527777
eager_10000.dot,10000,dyn_vs_base,3004.8474014372987,3.4823800984490667
methylseq_30000.dot,30000,dyn_vs_base,171.2326055357918,2.4834910712054517
eager_30000.dot,30000,dyn_vs_base,3131.0971904724306,3.768619568794034
methylseq_25000.dot,25000,dyn_vs_base,134.80858141740725,2.4052584634016356
eager_15000.dot,15000,dyn_vs_base,3208.6786147278226,3.7779750339324836
methylseq_30000.dot,30000,dyn_vs_base,607.449209418667,2.2502856900736505
atacseq_2000.dot,2000,dyn_vs_base,5139.405190048497,7.462020045897505
methylseq_10000.dot,10000,dyn_vs_base,220.6964524859605,2.433048715941771
chipseq_25000.dot,25000,dyn_vs_base,8517.473603151395,13.235275771120046
methylseq_30000.dot,30000,dyn_vs_base,205.68894456936297,2.489500928444442
eager_30000.dot,30000,dyn_vs_base,6277.529522616555,4.6823207240320945
chipseq_200.dot,200,dyn_vs_base,6715.397048589598,5.723015322575022
methylseq_15000.dot,15000,dyn_vs_base,545.279150421129,2.658594020510263
methylseq_2000.dot,2000,dyn_vs_base,294.47005133138526,1.7205193243030448
atacseq_200.dot,200,dyn_vs_base,0.38654243393860316,0.39301811704179496
eager_8000.dot,8000,dyn_vs_base,6510.2719230286775,4.083743225140952
atacseq_200.dot,200,dyn_vs_base,141.24805029650673,0.4478292338408948
chipseq_2000.dot,2000,dyn_vs_base,12451.38479191656,17.602325429285937
eager_20000.dot,20000,dyn_vs_base,3041.26149021475,3.5738652920822886
eager_10000.dot,10000,dyn_vs_base,3273.2498959499626,3.536197344278659
methylseq_25000.dot,25000,dyn_vs_base,198.47426903746006,2.675509577572797
eager_10000.dot,10000,dyn_vs_base,5806.10236022858,4.1254434747742765
methylseq_2000.dot,2000,dyn_vs_base,164.81866034881276,1.7468740275673158
atacseq_1000.dot,1000,dyn_vs_base,5779.021464606462,6.144087755705849
chipseq_10000.dot,10000,dyn_vs_base,1383.505751393167,3.3230902509754636
methylseq_2000.dot,2000,dyn_vs_base,113.09093836596011,1.2380642362514893
chipseq_8000.dot,8000,dyn_vs_base,9199.683499362143,16.277095527740865
eager_25000.dot,25000,dyn_vs_base,1970.581397443611,3.536066335335428
eager_4000.dot,4000,dyn_vs_base,3424.071742296476,3.262459572818413
chipseq_1000.dot,1000,dyn_vs_base,14079.356691678038,14.361585900639826
eager_15000.dot,15000,dyn_vs_base,3220.738334872078,3.72045716645695
eager_1000.dot,1000,dyn_vs_base,6284.1949677963885,2.692690150248825
chipseq_4000.dot,4000,dyn_vs_base,9222.62872682934,14.640051637068815
atacseq_1000.dot,1000,dyn_vs_base,11785.173404456866,9.482154790748313
chipseq_1000.dot,1000,dyn_vs_base,13027.146162954417,13.858614010205821
atacseq_2000.dot,2000,dyn_vs_base,5952.515000007376,9.726858842128927
eager_4000.dot,4000,dyn_vs_base,5989.384563801285,4.041383682447098
eager_4000.dot,4000,dyn_vs_base,4740.184844127209,3.1360765699977815
eager_200.dot,200,dyn_vs_base,0.8610603324027974,0.42945422517683585
methylseq_20000.dot,20000,dyn_vs_base,358.4570690263423,2.485750306873049
atacseq_25000.dot,25000,dyn_vs_base,10093.824868230118,18.149111449192677
eager_20000.dot,20000,dyn_vs_base,1394.653630361063,2.86636013869015
eager_25000.dot,25000,dyn_vs_base,2592.0525253697583,3.623562794863099
chipseq_15000.dot,15000,dyn_vs_base,11039.317638814664,14.422082294385572
chipseq_1000.dot,1000,dyn_vs_base,11659.953187307687,15.224677458127424
atacseq_15000.dot,15000,dyn_vs_base,5092.019810342308,9.659725844705656
methylseq_2000.dot,2000,dyn_vs_base,294.05204733216885,1.6910506943203527
methylseq_15000.dot,15000,dyn_vs_base,255.14100452917583,2.5026898681233276
methylseq_30000.dot,30000,dyn_vs_base,163.37486514612024,2.168478532764511
eager_2000.dot,2000,dyn_vs_base,3268.7003603840126,3.043284177256653
eager_2000.dot,2000,dyn_vs_base,3275.7110039114023,2.525192939927325
chipseq_20000.dot,20000,dyn_vs_base,6464.227903992091,13.053599350026825
atacseq_200.dot,200,dyn_vs_base,29.43084578230716,0.29546578263976364
chipseq_15000.dot,15000,dyn_vs_base,11076.14258627211,16.658468454905005
atacseq_8000.dot,8000,dyn_vs_base,3711.8497587030106,7.107066131681867
eager_10000.dot,10000,dyn_vs_base,3091.843848540652,3.4909427564433133
methylseq_8000.dot,8000,dyn_vs_base,229.00404540907888,2.114903452110846
eager_15000.dot,15000,dyn_vs_base,2032.836460901852,3.0931346855228576
eager_1000.dot,1000,dyn_vs_base,3949.138391802935,2.3905229620508783
eager_30000.dot,30000,dyn_vs_base,1942.4902024335142,3.168797877976863
eager_10000.dot,10000,dyn_vs_base,1945.745053142034,2.66363445469774
chipseq,100,dyn_vs_base,0.9625263953801342,0.9501620309454146
chipseq_30000.dot,30000,dyn_vs_base,1249.9380012336017,2.796959602065924
