vertex start_time finish_time proc_num
trim_galore_00001260 29502705.1607698 29541766.3919914 6
trim_galore_00000312 32028529.908332 32052872.4147455 35
trim_galore_00001536 32028529.908332 32052872.4147455 32
trim_galore_00001524 32028529.908332 32052872.4147455 31
trim_galore_00000003 32077214.9211589 32101557.4275724 34
trim_galore_00001248 32101557.4275724 32125899.9339859 33
trim_galore_00001896 32150242.4403993 32174584.9468128 30
trim_galore_00000324 32886436.9594481 32921429.3124174 16
trim_galore_00001992 32886436.9594481 32921429.3124174 17
trim_galore_00001488 32921429.3124174 32956421.6653867 14
trim_galore_00001308 32991414.0183561 33026406.3713254 15
trim_galore_00000264 33209536.626881 33244528.9798503 12
trim_galore_00000252 33209536.626881 33244528.9798503 13
trim_galore_00001980 36604034.1809509 36628376.6873643 35
trim_galore_00001500 36604034.1809509 36628376.6873643 34
trim_galore_00000048 36628376.6873643 36652719.1937778 32
trim_galore_00001296 36628376.6873643 36652719.1937778 31
bismark_align_00001431 29541766.3919914 29992542.3003134 7
bismark_align_00000951 29541766.3919914 29992542.3003134 11
bismark_align_00000819 36652719.1937778 36664347.0022153 31
bismark_align_00001563 32125899.9339859 32384779.5927592 33
bismark_align_00001731 29541766.3919914 29992542.3003134 10
bismark_align_00000879 32384779.5927592 32396407.4011967 33
bismark_align_00001707 29541766.3919914 29992542.3003134 9
bismark_align_00001443 33244528.9798503 33690014.8992359 12
bismark_align_00001479 32956421.6653867 33018436.6437201 14
bismark_align_00000939 29541766.3919914 29992542.3003134 8
bismark_align_00001683 29541766.3919914 29992542.3003134 6
bismark_align_00000891 32174584.9468128 32186212.7552503 30
bismark_align_00001743 29992542.3003134 30443493.9366507 10
bismark_align_00001515 36664347.0022153 36675974.8106528 31
bismark_align_00000855 36628376.6873643 36640004.4958018 34
bismark_align_00000831 32186212.7552503 32197840.5636878 30
bismark_align_00000867 29992542.3003134 30443493.9366507 9
bismark_align_00000927 29992542.3003134 30443493.9366507 7
bismark_align_00001491 36640004.4958018 36651632.3042393 34
bismark_align_00001551 32197840.5636878 32209468.3721253 30
bismark_align_00001539 33018436.6437201 33080451.6220534 14
bismark_align_00001455 29992542.3003134 30443493.9366507 6
bismark_align_00000903 33933871.8634988 34379357.7828843 13
bismark_align_00000843 30443493.9366507 30894621.3010033 9
bismark_align_00001719 30893214.9034272 31344342.2677798 10
bismark_align_00001503 31344342.2677798 31355970.0762173 10
bismark_align_00000915 36651632.3042393 36663260.1126768 34
bismark_align_00001467 32921429.3124174 33366915.2318029 16
bismark_align_00001179 32921429.3124174 33366915.2318029 17
bismark_align_00001659 33026406.3713254 33471892.290711 15
bismark_align_00001119 33366915.2318029 33813338.3672698 17
bismark_align_00001311 36690769.1253588 36702396.9337963 30
bismark_align_00001131 33471892.290711 33918315.4261779 15
bismark_align_00001599 30443493.9366507 30455121.7450882 7
bismark_align_00001143 33690014.8992359 34136438.0347028 12
bismark_align_00001647 33918315.4261779 34365675.7777262 15
bismark_align_00001299 34365675.7777262 34427690.7560595 15
bismark_align_00001155 34429216.1154305 34440843.923868 7
bismark_align_00001287 36675974.8106528 36687602.6190903 31
bismark_align_00001167 34427690.7560595 34489705.7343928 15
bismark_align_00001527 36652719.1937778 36911599.1125 32
bismark_align_00001323 34136438.0347028 34583798.3862511 12
bismark_align_00001635 34211093.5069056 34662045.1432429 11
bismark_align_00001191 34337650.9876527 34788602.62399 8
bismark_align_00001275 36663260.1126768 36674887.9211143 34
bismark_align_00001611 37585943.2567655 37597571.065203 34
bismark_align_00001203 35786315.3588408 35797943.1672783 33
bismark_align_00001263 34788602.62399 34800230.4324275 8
bismark_align_00001215 35648895.6039799 36100198.6963478 9
bismark_align_00001251 30443493.9366507 30455121.7450882 6
bismark_align_00001227 35863556.3250791 36309979.460546 16
bismark_align_00001623 36565794.6564039 36577422.4648414 6
bismark_align_00001239 35797943.1672783 35809570.9757158 33
bismark_align_00001371 37804065.8652904 37815693.6737279 31
bismark_align_00001419 36628376.6873643 36887256.6060866 35
bismark_align_00000975 37597571.065203 37609198.8736405 34
bismark_align_00000987 36911599.1125 37170654.7592375 32
bismark_align_00001695 37170654.7592375 37429886.1339903 32
bismark_align_00001407 37429886.1339903 37689293.2367583 32
bismark_align_00000999 38115334.3925609 38126962.2009984 10
bismark_align_00001395 37744555.7738324 38191916.1253807 17
bismark_align_00001011 37744555.7738324 38192853.3414621 12
bismark_align_00001023 38691763.6375885 38950819.284326 35
bismark_align_00001575 38691763.6375885 38951346.4683718 32
bismark_align_00001383 39340826.7290685 39402841.7074018 14
bismark_align_00001035 41198563.4193603 41210191.2277977 33
bismark_align_00000963 41210191.2277977 41221819.0362352 33
bismark_align_00001047 39763487.8517983 39825502.8301316 15
bismark_align_00001059 40414718.0912845 40477018.1542026 13
bismark_align_00001359 41285298.3637682 41296926.1722057 30
bismark_align_00001671 41433212.9960392 41502757.2523199 11
bismark_align_00001071 41559770.4767864 41571398.2852239 8
bismark_align_00001587 41651335.6045641 41662963.4130016 7
bismark_align_00001347 42180472.4951748 42192100.3036123 34
bismark_align_00001083 42344402.5528647 42406702.6157828 16
bismark_align_00001095 42398595.1036998 42410222.9121372 31
bismark_align_00001335 42871015.0931136 42940559.3493943 9
bismark_align_00001107 43286292.8759979 43329632.0502018 35
bismark_align_00000543 41221819.0362352 41233446.8446727 33
bismark_align_00000207 42192100.3036123 42203728.1120498 34
bismark_align_00001851 43286292.8759979 43329632.0502018 32
