vertex start finish processor
bismark_align_00000435 423103455.15242 430703371.210725 32
bismark_align_00000795 423103455.15242 430703371.210725 31
bismark_align_00000363 430703371.210725 436891084.235725 33
bismark_align_00000315 430703371.210725 438303288.915814 35
bismark_align_00000771 430703371.210725 438303288.915814 32
bismark_align_00000471 430703371.210725 438303288.915814 31
bismark_align_00000327 436891084.235725 443078797.260725 33
bismark_align_00000387 438303288.915814 444491001.940814 35
bismark_align_00000819 442788660.337585 448976373.362585 32
bismark_align_00000339 442788660.337585 448976373.362585 31
bismark_align_00000399 442788660.337585 448976373.362585 30
bismark_align_00000507 443078797.260725 449266510.285725 33
bismark_align_00000855 444491001.940814 450678714.965814 35
bismark_align_00000519 449266510.285725 455454223.310725 33
bismark_align_00000843 450678714.965814 456866427.990814 35
bismark_align_00000495 451583179.375402 457770892.400402 34
bismark_align_00000783 456477770.09202 462665483.11702 33
bismark_align_00000411 456866427.990814 463054141.015814 35
bismark_align_00000303 463054141.015814 469241854.040814 35
bismark_align_00000459 465272289.129837 471460002.154837 32
bismark_align_00000351 465272289.129837 471460002.154837 31
bismark_align_00000567 465272289.129837 471460002.154837 30
bismark_align_00000711 469241854.040814 475429567.065814 35
bismark_align_00000159 474066808.167654 480254521.192654 34
bismark_align_00000927 475429567.065814 481617280.090814 35
bismark_align_00000603 478961398.884273 485149111.909273 33
bismark_align_00000147 481617280.090814 487804993.115814 35
bismark_align_00000723 487755917.922089 493943630.947089 32
bismark_align_00000135 487755917.922089 493943630.947089 31
bismark_align_00000879 487755917.922089 493943630.947089 30
bismark_align_00000939 487804993.115814 493992706.140814 35
bismark_align_00000123 496550436.959906 502738149.984906 34
bismark_align_00000111 501445027.676525 507632740.701525 33
bismark_align_00000627 506339618.393144 512527331.418144 35
bismark_align_00000951 510239546.714342 516427259.739342 32
bismark_align_00000099 510239546.714342 516427259.739342 31
bismark_align_00000639 510239546.714342 516427259.739342 30
bismark_align_00000087 519034065.752158 525221778.777158 34
bismark_align_00000615 523928656.468777 530116369.493777 33
bismark_align_00000075 528823247.185396 535010960.210396 35
bismark_align_00000963 532723175.506594 538910888.531594 32
bismark_align_00000651 532723175.506594 538910888.531594 31
bismark_align_00000063 532723175.506594 538910888.531594 30
bismark_align_00000051 541517694.544411 547705407.569411 34
bismark_align_00000975 546412285.261029 552599998.286029 33
bismark_align_00000663 551306875.977648 557494589.002648 35
bismark_align_00000699 555206804.298846 561394517.323846 32
bismark_align_00000039 555206804.298846 561394517.323846 31
bismark_align_00000675 555206804.298846 561394517.323846 30
bismark_align_00000027 564001323.336663 570189036.361663 34
bismark_align_00000987 568895914.053282 575083627.078282 33
bismark_align_00000015 573790504.7699 579978217.7949 35
bismark_align_00000004 577690433.091098 583878146.116098 32
bismark_align_00000687 577690433.091098 583878146.116098 31
bismark_align_00000543 577690433.091098 583878146.116098 30
