algo_nr wf_name inp_size chainProb hubScore bypBra maxIndSetR cpRat wSkew memToComp memToIo auto-num auto-name 
1 dag_200_long_2.dot 1 0.985075 0.0147535 0 0.995025 1.36091e+08 0.249352 31.9847 0.0829974 6 Online_MeDiH-BL
1 methylseq_1000.dot 11897958606 0.665331 22.075 1 0.58517 59015.3 2.99855 19.0466 0.102747 6 Online_MeDiH-BL
1 dag_4000_long_2.dot 1 0.99875 0.00124725 0 0.99975 1.40046e+08 1.0754 31.8246 0.0830208 6 Online_MeDiH-BL
1 atacseq_2000.dot 3908761308 0.563536 11.0648 1 0.541436 28174.1 1.38053 445.586 1.59195 6 Online_MeDiH-BL
1 dag_200_long_4.dot 1 0.975124 0.0239331 0 0.995025 1.36078e+08 1.38772 32.7389 0.0816597 6 Online_MeDiH-BL
1 dag_20000_wide_0.dot 1 0.900005 2.47108 1 0.99995 143578 1.45078 31.2672 0.0777227 6 Online_MeDiH-BL
1 dag_30000_long_3.dot 1 0.9999 9.99889e-05 0 0.999967 1.42021e+08 0.529912 31.2834 0.0826061 6 Online_MeDiH-BL
1 dag_10000_wide_2.dot 1 0.89991 2.44833 1 0.9999 263885 1.7146 31.8833 0.0777974 6 Online_MeDiH-BL
1 methylseq 11897958606 0.571429 0.670782 1 0.714286 4.20695e+06 2.99855 19.0468 0.102747 6 Online_MeDiH-BL
1 chipseq_25000.dot 5058052541 0.559955 142.648 1 0.600072 2200.31 1.33271 452.08 1.22693 6 Online_MeDiH-BL
1 dag_30000_general_1.dot 1 0.452352 0.608234 0 0.999967 150840 1.1229 31.2467 0.0366008 6 Online_MeDiH-BL
1 methylseq_15000.dot 110641579976 0.666578 329.168 1 0.583456 32201.1 3.00001 2.09212 0.0100162 6 Online_MeDiH-BL
1 methylseq_15000.dot 17027257018 0.666578 329.168 1 0.583456 4643.87 2.99647 17.3881 0.0774313 6 Online_MeDiH-BL
1 eager 14754556884 0.557377 1.36168 1 0.721311 2.97598e+06 2.13429 101.817 0.396503 6 Online_MeDiH-BL
1 dag_25000_long_4.dot 1 0.99976 0.000239888 0 0.99996 1.42486e+08 1.15295 31.3014 0.0825047 6 Online_MeDiH-BL
1 chipseq_2000.dot 32978181418 0.559433 11.6418 1 0.60091 142691 1.49208 106.415 0.249571 6 Online_MeDiH-BL
1 dag_1000_long_4.dot 1 0.998002 0.001998 0 0.999001 1.43345e+08 1.93361 31.2608 0.0846778 6 Online_MeDiH-BL
1 eager_2000.dot 19100037384 0.57568 3.63393 1 0.426372 93000.5 2.26185 103.203 0.336513 6 Online_MeDiH-BL
1 atacseq_20000.dot 14091675276 0.564046 107.322 1 0.538758 7794.41 1.60063 215.376 0.579941 6 Online_MeDiH-BL
1 dag_25000_long_0.dot 1 0.99988 0.000119984 0 0.99996 1.43084e+08 1.05583 30.9638 0.0816807 6 Online_MeDiH-BL
1 atacseq_20000.dot 2223941232 0.564046 107.322 1 0.538758 1879.72 1.15377 576.928 1.97695 6 Online_MeDiH-BL
1 chipseq_2000.dot 5058052541 0.559433 11.6418 1 0.60091 27798.2 1.33273 452.014 1.22703 6 Online_MeDiH-BL
1 dag_30000_long_2.dot 1 0.9998 0.000199922 0 0.999967 1.41563e+08 0.908256 31.6089 0.0827479 6 Online_MeDiH-BL
1 dag_4000_wide_2.dot 1 0.900025 2.45086 1 0.99975 526290 1.738 30.9988 0.077204 6 Online_MeDiH-BL
1 methylseq_20000.dot 11897958606 0.6666 438.995 1 0.583425 2945.75 2.99841 19.0464 0.102731 6 Online_MeDiH-BL
1 dag_200_long_0.dot 1 0.975124 0.0239331 0 0.995025 1.37062e+08 0.572212 31.5224 0.0829049 6 Online_MeDiH-BL
1 dag_15000_long_2.dot 1 0.999667 0.000333138 0 0.999933 1.41849e+08 0.614962 31.1102 0.0818138 6 Online_MeDiH-BL
1 dag_1000_general_1.dot 1 0.460539 0.642088 0 0.999001 2.85482e+06 1.16285 30.538 0.0364069 6 Online_MeDiH-BL
1 dag_20000_wide_2.dot 1 0.899955 2.46795 1 0.99995 147638 1.79256 31.0814 0.0775309 6 Online_MeDiH-BL
1 atacseq_25000.dot 14091675276 0.564057 134.049 1 0.538699 6235.66 1.60065 215.364 0.579908 6 Online_MeDiH-BL
1 dag_20000_wide_4.dot 1 0.900005 2.4688 1 0.99995 137738 1.6037 31.4253 0.0780306 6 Online_MeDiH-BL
1 atacseq_4000.dot 14091675276 0.563819 21.7131 1 0.53995 39109.2 1.60052 215.414 0.579945 6 Online_MeDiH-BL
1 eager_200.dot 25705994498 0.569832 1.45827 1 0.452514 1.32171e+06 2.19477 83.8516 0.25462 6 Online_MeDiH-BL
1 chipseq_15000.dot 4605965334 0.559925 85.6883 1 0.60012 3707.36 1.3433 382.872 1.22921 6 Online_MeDiH-BL
1 atacseq_15000.dot 14091675276 0.564027 80.5954 1 0.538857 10392.2 1.6006 215.417 0.579999 6 Online_MeDiH-BL
1 methylseq_200.dot 110641579976 0.659794 4.43879 1 0.592784 2.48812e+06 3 2.09188 0.0100157 6 Online_MeDiH-BL
1 methylseq 6273818718 0.571429 0.670782 1 0.714286 2.26714e+06 2.9988 34.2156 0.189585 6 Online_MeDiH-BL
1 dag_8000_wide_2.dot 1 0.899888 2.4459 1 0.999875 298451 1.77064 31.8285 0.0779054 6 Online_MeDiH-BL
1 atacseq_15000.dot 11187378708 0.564027 80.5954 1 0.538857 5885.39 2.11144 335.645 0.813803 6 Online_MeDiH-BL
1 eager 25705994498 0.557377 1.36168 1 0.721311 3.87846e+06 2.19477 83.8518 0.25462 6 Online_MeDiH-BL
1 methylseq_4000.dot 8885797810 0.666333 87.9169 1 0.583792 11229.5 2.99886 24.6937 0.13605 6 Online_MeDiH-BL
1 methylseq_20000.dot 110641579976 0.6666 438.995 1 0.583425 24142 3.00001 2.09213 0.0100161 6 Online_MeDiH-BL
1 dag_20000_long_1.dot 1 0.9997 0.000299825 0 0.99995 1.42817e+08 0.874169 31.2996 0.0834135 6 Online_MeDiH-BL
1 dag_2000_general_4.dot 1 0.443278 0.599178 0 0.9995 1.6956e+06 1.1392 30.5566 0.0355225 3 Online_MeDiH-MM
1 chipseq_2000.dot 41366257414 0.559433 11.6418 1 0.60091 198871 1.6195 65.0469 0.190626 6 Online_MeDiH-BL
1 dag_8000_general_1.dot 1 0.452568 0.602449 0 0.999875 508701 0.929187 30.7349 0.0365304 6 Online_MeDiH-BL
1 chipseq_15000.dot 32978181418 0.559925 85.6883 1 0.60012 18835.5 1.49217 106.42 0.249611 6 Online_MeDiH-BL
1 chipseq_8000.dot 5058052541 0.55986 45.8167 1 0.600226 6889.44 1.33272 452.015 1.22703 6 Online_MeDiH-BL
1 dag_200_wide_3.dot 1 0.895522 2.46474 1 0.995025 6.03238e+06 1.41864 29.0667 0.0742894 6 Online_MeDiH-BL
1 dag_15000_general_0.dot 1 0.457036 0.609253 0 0.999933 251701 1.09379 31.0675 0.0369406 6 Online_MeDiH-BL
1 dag_15000_wide_3.dot 1 0.89994 2.4773 1 0.999933 211471 1.63098 31.3467 0.0769773 6 Online_MeDiH-BL
1 methylseq_8000.dot 8885797810 0.6665 175.62 1 0.583563 5616.17 2.99891 24.6932 0.136059 6 Online_MeDiH-BL
1 chipseq_8000.dot 41366257414 0.55986 45.8167 1 0.600226 49287.8 1.61949 65.0457 0.190625 6 Online_MeDiH-BL
